case_id,source_job_title,raw_skill,normalized_skill,normalization_method
JD002,测试开发专家（公会和运营平台）-TikTok直播（北京/上海）,大数据技术,数据工程,人工逐条语义映射：大数据技术栈归入数据工程
JD003,高级后端开发工程师（互动业务）-TikTok社交,Go,Go,人工确认的缩写/大小写等价
JD003,高级后端开发工程师（互动业务）-TikTok社交,Java,Java,项目泛抽取词典
JD003,高级后端开发工程师（互动业务）-TikTok社交,C++,C/C++,项目泛抽取词典
JD003,高级后端开发工程师（互动业务）-TikTok社交,Python,Python,项目泛抽取词典
JD003,高级后端开发工程师（互动业务）-TikTok社交,后端服务,系统开发,人工逐条语义映射：后端服务归入系统开发
JD003,高级后端开发工程师（互动业务）-TikTok社交,计算机体系结构,计算机体系结构,项目泛抽取词典
JD003,高级后端开发工程师（互动业务）-TikTok社交,分布式系统,系统开发,项目泛抽取词典
JD003,高级后端开发工程师（互动业务）-TikTok社交,AI,AI,项目泛抽取词典
JD004,短视频推荐算法工程师-推送方向,机器学习,Machine Learning,项目泛抽取词典
JD004,短视频推荐算法工程师-推送方向,推荐系统,Machine Learning,项目泛抽取词典
JD004,短视频推荐算法工程师-推送方向,搜索引擎,引擎开发,人工逐条语义映射：搜索引擎归入引擎开发
JD004,短视频推荐算法工程师-推送方向,推送推荐,CTR/CVR,人工逐条语义映射：推送推荐归入CTR/CVR
JD004,短视频推荐算法工程师-推送方向,模型性能优化,模型工程,项目泛抽取词典
JD004,短视频推荐算法工程师-推送方向,模型结构优化,模型工程,人工逐条语义映射：模型结构优化归入模型工程
JD005,语音算法实习生-飞书AI,Python,Python,项目泛抽取词典
JD005,语音算法实习生-飞书AI,NumPy,Python,人工逐条语义映射：NumPy归入Python
JD005,语音算法实习生-飞书AI,PyTorch,PyTorch,项目泛抽取词典
JD005,语音算法实习生-飞书AI,TensorFlow,TensorFlow,项目泛抽取词典
JD005,语音算法实习生-飞书AI,LLM,LLM,项目泛抽取词典
JD005,语音算法实习生-飞书AI,语音信号处理,信号处理,人工逐条语义映射：语音信号处理归入信号处理
JD005,语音算法实习生-飞书AI,ASR,ASR,人工确认的缩写/大小写等价
JD005,语音算法实习生-飞书AI,特征提取,特征工程,人工逐条语义映射：特征提取归入特征工程
JD005,语音算法实习生-飞书AI,CUDA,CUDA,项目泛抽取词典
JD005,语音算法实习生-飞书AI,TensorRT,模型推理,人工逐条语义映射：TensorRT归入模型推理
JD005,语音算法实习生-飞书AI,多语种语音处理,ASR,人工逐条语义映射：多语种语音处理归入ASR
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,Java,Java,项目泛抽取词典
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,Spring Boot,Spring,人工逐条语义映射：Spring Boot归入Spring
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,数据库,数据工程,项目泛抽取词典
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,AI Agent,Agent,人工确认的缩写/大小写等价
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,ReAct,React,项目泛抽取词典
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,CoT,Chain of Thought,项目泛抽取词典
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,Memory,Agent,人工逐条语义映射：Agent记忆归入Agent
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,RAG,RAG,项目泛抽取词典
JD006,阿里国际-高级AI 应用开发工程师（CIO）-杭州,LangChain,LangChain,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,机器学习,Machine Learning,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,深度学习,Machine Learning,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,NLP,NLP,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,CV,Computer Vision,人工确认的缩写/大小写等价
JD007,搜索算法工程师-抖音（上海/杭州）,CTR预估,CTR/CVR,人工逐条语义映射：CTR预估归入CTR/CVR
JD007,搜索算法工程师-抖音（上海/杭州）,图神经网络,知识图谱,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,Linux,Linux,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,C++,C/C++,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,Python,Python,项目泛抽取词典
JD007,搜索算法工程师-抖音（上海/杭州）,搜索算法,AI算法,人工逐条语义映射：搜索算法归入AI算法
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,GPU,CUDA,人工逐条语义映射：GPU计算归入CUDA
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,CUDA,CUDA,项目泛抽取词典
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,C++,C/C++,项目泛抽取词典
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Triton,Triton,人工逐条语义映射：同名系统规范技能
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Kernel,CUDA,人工逐条语义映射：Kernel开发归入CUDA
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Transformer,LLM,人工逐条语义映射：Transformer归入LLM
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Attention,Attention机制,人工逐条语义映射：Attention归入Attention机制
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Diffusion,Diffusion模型,人工逐条语义映射：Diffusion归入Diffusion模型
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,大模型训练,模型训练,项目泛抽取词典
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,PyTorch内部机制,模型训练,人工逐条语义映射：PyTorch内部机制归入模型训练
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Kernel Profiling,性能优化,人工逐条语义映射：Kernel性能分析归入性能优化
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,Benchmark,模型评测,人工逐条语义映射：Benchmark归入模型评测
JD008,大模型算法（GPU模型底层优化方向）实习生-TikTok隐私安全,算子优化,算子开发,人工逐条语义映射：算子优化归入算子开发
JD009,AI产品经理,LLM,LLM,项目泛抽取词典
JD009,AI产品经理,Agent,Agent,人工确认的缩写/大小写等价
JD009,AI产品经理,AI产品运营,AI,人工逐条语义映射：AI产品运营归入AI能力
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,强化学习,Machine Learning,项目泛抽取词典
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,运筹优化,多目标优化,人工逐条语义映射：运筹优化归入多目标优化
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,因果推断,因果推断,项目泛抽取词典
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,时空建模,时间序列算法,项目泛抽取词典
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,LLM,LLM,项目泛抽取词典
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,决策科学,多目标优化,人工逐条语义映射：决策科学归入多目标优化
JD010,【北斗】AI决策算法研究员（外卖/即时零售方向）,即时配送决策,ETA算法,人工逐条语义映射：即时配送时效决策归入ETA算法
JD011,前端开发工程师-飞书项目,前端工程,Web,人工逐条语义映射：前端工程归入Web开发
JD011,前端开发工程师-飞书项目,CI/CD,CI/CD,项目泛抽取词典
JD011,前端开发工程师-飞书项目,前端框架,Web,人工逐条语义映射：前端框架归入Web开发
JD011,前端开发工程师-飞书项目,前后端协作,软件开发,人工逐条语义映射：前后端协作归入软件开发
JD012,数据分析师-TikTok,SQL,SQL,项目泛抽取词典
JD012,数据分析师-TikTok,数据科学,数据工程,项目泛抽取词典
JD013,AI解决方案专家,大模型,LLM,项目泛抽取词典
JD013,AI解决方案专家,AI Copilot,AI Copilot,人工确认的缩写/大小写等价
JD013,AI解决方案专家,IoT,物联网,人工逐条语义映射：IoT归入物联网
JD013,AI解决方案专家,嵌入式设备,硬件开发,人工逐条语义映射：嵌入式设备归入硬件开发
JD013,AI解决方案专家,Agent,Agent,人工确认的缩写/大小写等价
JD014,客户端开发实习生-移动OS,Java,Java,项目泛抽取词典
JD014,客户端开发实习生-移动OS,Kotlin,Kotlin,项目泛抽取词典
JD014,客户端开发实习生-移动OS,Swift,Swift,项目泛抽取词典
JD014,客户端开发实习生-移动OS,C++,C/C++,项目泛抽取词典
JD014,客户端开发实习生-移动OS,iOS,Swift,人工逐条语义映射：iOS客户端开发归入Swift
JD014,客户端开发实习生-移动OS,Android,Android,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,机器学习,Machine Learning,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,深度学习,Machine Learning,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,Multimodal AI,Multimodal AI,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,LLM,LLM,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,PyTorch,PyTorch,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,Python,Python,项目泛抽取词典
JD015,AIGC算法实习生-GenAI,AIGC,AIGC,项目泛抽取词典
JD016,大模型应用实习生（服务智能）,大模型训练,模型训练,项目泛抽取词典
JD016,大模型应用实习生（服务智能）,Agent,Agent,人工确认的缩写/大小写等价
JD016,大模型应用实习生（服务智能）,提示词工程,prompt工程,人工确认的缩写/大小写等价
JD016,大模型应用实习生（服务智能）,大模型评测,模型评测,项目泛抽取词典
JD016,大模型应用实习生（服务智能）,C/C++,C/C++,人工确认的缩写/大小写等价
JD016,大模型应用实习生（服务智能）,Java,Java,项目泛抽取词典
JD016,大模型应用实习生（服务智能）,Go,Go,人工确认的缩写/大小写等价
JD016,大模型应用实习生（服务智能）,Python,Python,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,机器学习,Machine Learning,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,Python,Python,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,TensorFlow,TensorFlow,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,PyTorch,PyTorch,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,强化学习,Machine Learning,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,深度学习,Machine Learning,项目泛抽取词典
JD017,机器学习算法工程师-时效表达方向,ETA算法,ETA算法,项目泛抽取词典
JD018,风控算法工程师-生活服务,机器学习,Machine Learning,项目泛抽取词典
JD018,风控算法工程师-生活服务,深度学习,Machine Learning,项目泛抽取词典
JD018,风控算法工程师-生活服务,LLM,LLM,项目泛抽取词典
JD018,风控算法工程师-生活服务,VLM,VLM,项目泛抽取词典
JD018,风控算法工程师-生活服务,RLHF,RLHF,项目泛抽取词典
JD018,风控算法工程师-生活服务,PyTorch,PyTorch,项目泛抽取词典
JD018,风控算法工程师-生活服务,TensorFlow,TensorFlow,项目泛抽取词典
JD018,风控算法工程师-生活服务,代码调优,性能优化,人工逐条语义映射：代码调优对应性能优化
JD019,机器人算法评测实习生-Seed,模型评测,模型评测,项目泛抽取词典
JD019,机器人算法评测实习生-Seed,VLA,VLA模型,人工逐条语义映射：VLA归入VLA模型
JD019,机器人算法评测实习生-Seed,VLM,VLM,项目泛抽取词典
JD019,机器人算法评测实习生-Seed,C++,C/C++,项目泛抽取词典
JD019,机器人算法评测实习生-Seed,Java,Java,项目泛抽取词典
JD019,机器人算法评测实习生-Seed,Go,Go,人工确认的缩写/大小写等价
JD019,机器人算法评测实习生-Seed,Python,Python,项目泛抽取词典
JD019,机器人算法评测实习生-Seed,机器人算法,算法工程,人工逐条语义映射：机器人算法归入算法工程
JD019,机器人算法评测实习生-Seed,模型训练,模型训练,项目泛抽取词典
JD020,AI Agent应用工程师（企业知识库方向）,Python,Python,项目泛抽取词典
JD020,AI Agent应用工程师（企业知识库方向）,LangChain,LangChain,项目泛抽取词典
JD020,AI Agent应用工程师（企业知识库方向）,MCP,MCP协议,人工逐条语义映射：MCP归入MCP协议
JD020,AI Agent应用工程师（企业知识库方向）,Agent,Agent,人工确认的缩写/大小写等价
JD020,AI Agent应用工程师（企业知识库方向）,RAG,RAG,项目泛抽取词典
JD020,AI Agent应用工程师（企业知识库方向）,FastAPI,FastAPI,项目泛抽取词典
JD021,信息安全运营专家-安全与风控,安全技术,信息安全,人工逐条语义映射：安全技术要求归入信息安全能力
JD022,机器人软件工程师（自主导航方向）,ROS,ROS2,人工逐条语义映射：ROS归入ROS2
JD022,机器人软件工程师（自主导航方向）,C++,C/C++,项目泛抽取词典
JD022,机器人软件工程师（自主导航方向）,Python,Python,项目泛抽取词典
JD022,机器人软件工程师（自主导航方向）,SLAM,SLAM,项目泛抽取词典
JD022,机器人软件工程师（自主导航方向）,传感器融合,多源信息融合SLAM,人工逐条语义映射：多传感器融合对应多源融合定位能力
JD022,机器人软件工程师（自主导航方向）,路径规划,机器人与自动驾驶,人工逐条语义映射：路径规划归入机器人与自动驾驶
JD022,机器人软件工程师（自主导航方向）,Linux,Linux,项目泛抽取词典
JD022,机器人软件工程师（自主导航方向）,Docker,Docker,项目泛抽取词典
JD023,Android开发实习生-TikTok泛架构,Kotlin,Kotlin,项目泛抽取词典
JD023,Android开发实习生-TikTok泛架构,Java,Java,项目泛抽取词典
JD023,Android开发实习生-TikTok泛架构,Swift,Swift,项目泛抽取词典
JD023,Android开发实习生-TikTok泛架构,C,C/C++,人工逐条语义映射：C语言归入C/C++
JD023,Android开发实习生-TikTok泛架构,C++,C/C++,项目泛抽取词典
JD023,Android开发实习生-TikTok泛架构,JavaScript,JavaScript,项目泛抽取词典
JD023,Android开发实习生-TikTok泛架构,移动端开发,Android,人工逐条语义映射：移动端开发归入Android
JD024,计算机视觉算法工程师,模式识别,模式识别,项目泛抽取词典
JD024,计算机视觉算法工程师,计算机视觉,计算机视觉,项目泛抽取词典
JD024,计算机视觉算法工程师,VLA,VLA模型,人工逐条语义映射：VLA归入VLA模型
JD024,计算机视觉算法工程师,多模态大模型,Multimodal AI,人工逐条语义映射：多模态大模型对应Multimodal AI
JD024,计算机视觉算法工程师,Diffusion,Diffusion模型,人工逐条语义映射：Diffusion归入Diffusion模型
JD024,计算机视觉算法工程师,世界模型,世界模型,项目泛抽取词典
JD024,计算机视觉算法工程师,代码生成,AI Coding,项目泛抽取词典
JD024,计算机视觉算法工程师,模型调优,模型调优,项目泛抽取词典
JD025,iOS开发实习生-今日头条,Android,Android,项目泛抽取词典
JD025,iOS开发实习生-今日头条,iOS,Swift,人工逐条语义映射：iOS客户端开发归入Swift
JD025,iOS开发实习生-今日头条,移动开发,Android,人工逐条语义映射：移动开发归入Android
JD026,广告算法工程师-国际化品牌广告,海量数据处理,数据工程,人工逐条语义映射：海量数据处理归入数据工程
JD026,广告算法工程师-国际化品牌广告,分布式计算,数据工程,人工逐条语义映射：分布式计算归入数据工程
JD026,广告算法工程师-国际化品牌广告,Hadoop,Hadoop,项目泛抽取词典
JD026,广告算法工程师-国际化品牌广告,Spark,Spark,项目泛抽取词典
JD026,广告算法工程师-国际化品牌广告,机器学习,Machine Learning,项目泛抽取词典
JD026,广告算法工程师-国际化品牌广告,深度学习,Machine Learning,项目泛抽取词典
JD026,广告算法工程师-国际化品牌广告,TensorFlow,TensorFlow,项目泛抽取词典
JD026,广告算法工程师-国际化品牌广告,PyTorch,PyTorch,项目泛抽取词典
JD026,广告算法工程师-国际化品牌广告,Caffe,Deep Learning,人工逐条语义映射：Caffe归入深度学习框架
JD026,广告算法工程师-国际化品牌广告,MXNet,Deep Learning,人工逐条语义映射：MXNet归入深度学习框架
JD027,蓝牙嵌入式软件工程师-移动OS,嵌入式软件,系统开发,人工逐条语义映射：嵌入式软件归入系统开发
JD027,蓝牙嵌入式软件工程师-移动OS,C/C++,C/C++,人工确认的缩写/大小写等价
JD027,蓝牙嵌入式软件工程师-移动OS,RTOS,RTOS,项目泛抽取词典
JD027,蓝牙嵌入式软件工程师-移动OS,蓝牙协议,通信技术,人工逐条语义映射：蓝牙协议归入通信技术
JD027,蓝牙嵌入式软件工程师-移动OS,WiFi协议,通信技术,人工逐条语义映射：WiFi协议归入通信技术
JD027,蓝牙嵌入式软件工程师-移动OS,蓝牙音频,音视频技术,人工逐条语义映射：蓝牙音频归入音视频技术
JD027,蓝牙嵌入式软件工程师-移动OS,HFP,音视频技术,人工逐条语义映射：HFP归入蓝牙音频技术
JD027,蓝牙嵌入式软件工程师-移动OS,智能硬件开发,硬件开发,人工逐条语义映射：智能硬件开发归入硬件开发
JD028,云计算客户支持工程师-火山引擎,云计算,云计算,项目泛抽取词典
JD028,云计算客户支持工程师-火山引擎,操作系统,系统开发,人工逐条语义映射：操作系统开发与系统开发能力归并
JD028,云计算客户支持工程师-火山引擎,云服务器,云计算,人工逐条语义映射：云服务器归入云计算
JD028,云计算客户支持工程师-火山引擎,容器,Docker,项目泛抽取词典
JD028,云计算客户支持工程师-火山引擎,数据库,数据工程,项目泛抽取词典
JD028,云计算客户支持工程师-火山引擎,存储,数据工程,人工逐条语义映射：存储系统能力归入数据工程
JD029,前端开发实习生（AI安全方向）-安全与风控,HTML,HTML,项目泛抽取词典
JD029,前端开发实习生（AI安全方向）-安全与风控,CSS,CSS,项目泛抽取词典
JD029,前端开发实习生（AI安全方向）-安全与风控,JavaScript,JavaScript,项目泛抽取词典
JD029,前端开发实习生（AI安全方向）-安全与风控,HTTP,HTTP,项目泛抽取词典
JD029,前端开发实习生（AI安全方向）-安全与风控,React,React,项目泛抽取词典
JD029,前端开发实习生（AI安全方向）-安全与风控,TypeScript,TypeScript,项目泛抽取词典
JD030,NLP算法工程师-抖音智能客服,机器学习,Machine Learning,项目泛抽取词典
JD030,NLP算法工程师-抖音智能客服,NLP,NLP,项目泛抽取词典
JD030,NLP算法工程师-抖音智能客服,LLM,LLM,项目泛抽取词典
JD030,NLP算法工程师-抖音智能客服,Agent,Agent,人工确认的缩写/大小写等价
JD030,NLP算法工程师-抖音智能客服,RAG,RAG,项目泛抽取词典
JD031,商品库存后端开发工程师,Java,Java,项目泛抽取词典
JD031,商品库存后端开发工程师,微服务架构,Microservices,人工逐条语义映射：微服务架构归入Microservices
JD031,商品库存后端开发工程师,Spring,Spring,项目泛抽取词典
JD031,商品库存后端开发工程师,Docker,Docker,项目泛抽取词典
JD031,商品库存后端开发工程师,分布式系统,系统开发,项目泛抽取词典
JD031,商品库存后端开发工程师,后端开发,软件开发,项目泛抽取词典
JD031,商品库存后端开发工程师,系统架构设计,系统开发,人工逐条语义映射：系统架构设计归入系统开发
JD031,商品库存后端开发工程师,性能优化,性能优化,项目泛抽取词典
JD031,商品库存后端开发工程师,代码评审,研发效能,人工逐条语义映射：代码评审属于研发效能实践
JD032,后端开发工程师（治理平台）-TikTok生活服务,Java,Java,项目泛抽取词典
JD032,后端开发工程师（治理平台）-TikTok生活服务,Golang,Go,人工逐条语义映射：Golang归入Go
JD032,后端开发工程师（治理平台）-TikTok生活服务,Python,Python,项目泛抽取词典
JD032,后端开发工程师（治理平台）-TikTok生活服务,C++,C/C++,项目泛抽取词典
JD032,后端开发工程师（治理平台）-TikTok生活服务,Linux,Linux,项目泛抽取词典
JD032,后端开发工程师（治理平台）-TikTok生活服务,MySQL,MySQL,项目泛抽取词典
JD032,后端开发工程师（治理平台）-TikTok生活服务,RPC,REST API,人工逐条语义映射：RPC服务接口归入REST API
JD032,后端开发工程师（治理平台）-TikTok生活服务,MQ,Kafka,人工逐条语义映射：MQ归入Kafka消息队列
JD032,后端开发工程师（治理平台）-TikTok生活服务,微服务架构,Microservices,人工逐条语义映射：微服务架构归入Microservices
JD033,搜索-国际化短视频推荐算法工程师,算法设计,算法工程,人工逐条语义映射：算法设计归入算法工程
JD033,搜索-国际化短视频推荐算法工程师,机器学习,Machine Learning,项目泛抽取词典
JD033,搜索-国际化短视频推荐算法工程师,强化学习,Machine Learning,项目泛抽取词典
JD033,搜索-国际化短视频推荐算法工程师,NLP,NLP,项目泛抽取词典
JD033,搜索-国际化短视频推荐算法工程师,模型预训练,模型预训练,项目泛抽取词典
JD034,后端开发工程师-商业化交易中台,Java,Java,项目泛抽取词典
JD034,后端开发工程师-商业化交易中台,Go,Go,人工确认的缩写/大小写等价
JD034,后端开发工程师-商业化交易中台,C++,C/C++,项目泛抽取词典
JD034,后端开发工程师-商业化交易中台,Python,Python,项目泛抽取词典
JD034,后端开发工程师-商业化交易中台,分布式系统,系统开发,项目泛抽取词典
JD034,后端开发工程师-商业化交易中台,LLM,LLM,项目泛抽取词典
JD034,后端开发工程师-商业化交易中台,Ai Coding,AI Coding,人工确认的缩写/大小写等价
JD035,后端开发实习生-TikTok用户增长,Golang,Go,人工逐条语义映射：Golang归入Go
JD035,后端开发实习生-TikTok用户增长,Python,Python,项目泛抽取词典
JD035,后端开发实习生-TikTok用户增长,Java,Java,项目泛抽取词典
JD035,后端开发实习生-TikTok用户增长,分布式架构,系统开发,人工逐条语义映射：分布式架构归入系统开发
JD035,后端开发实习生-TikTok用户增长,MySQL,MySQL,项目泛抽取词典
JD035,后端开发实习生-TikTok用户增长,Redis,Redis,项目泛抽取词典
JD035,后端开发实习生-TikTok用户增长,ClickHouse,数据工程,人工逐条语义映射：ClickHouse归入数据工程
JD035,后端开发实习生-TikTok用户增长,Flink,Flink,项目泛抽取词典
JD035,后端开发实习生-TikTok用户增长,AIGC,AIGC,项目泛抽取词典
JD036,测试开发工程师（钱包与资金平台）-TikTok直播,Java,Java,项目泛抽取词典
JD036,测试开发工程师（钱包与资金平台）-TikTok直播,PHP,PHP,项目泛抽取词典
JD036,测试开发工程师（钱包与资金平台）-TikTok直播,C++,C/C++,项目泛抽取词典
JD036,测试开发工程师（钱包与资金平台）-TikTok直播,Go,Go,人工确认的缩写/大小写等价
JD036,测试开发工程师（钱包与资金平台）-TikTok直播,Python,Python,项目泛抽取词典
JD036,测试开发工程师（钱包与资金平台）-TikTok直播,数据库,数据工程,项目泛抽取词典
JD037,【LongCat大模型人才校招】语音大模型算法研究员,语音信号处理,信号处理,人工逐条语义映射：语音信号处理归入信号处理
JD037,【LongCat大模型人才校招】语音大模型算法研究员,机器学习,Machine Learning,项目泛抽取词典
JD037,【LongCat大模型人才校招】语音大模型算法研究员,ASR,ASR,人工确认的缩写/大小写等价
JD037,【LongCat大模型人才校招】语音大模型算法研究员,TTS,TTS,项目泛抽取词典
JD037,【LongCat大模型人才校招】语音大模型算法研究员,Speaker Verification,声纹基座模型,人工逐条语义映射：Speaker Verification归入声纹基座模型
JD037,【LongCat大模型人才校招】语音大模型算法研究员,Speech LM,Speech Language Model,人工逐条语义映射：Speech LM归入Speech Language Model
JD037,【LongCat大模型人才校招】语音大模型算法研究员,Audio Tokenization,Audio Tokenization,人工逐条语义映射：同名系统规范技能
JD037,【LongCat大模型人才校招】语音大模型算法研究员,PyTorch,PyTorch,项目泛抽取词典
JD037,【LongCat大模型人才校招】语音大模型算法研究员,分布式训练,模型训练,项目泛抽取词典
JD038,大模型算法实习生-TikTok业务风控,LLM,LLM,项目泛抽取词典
JD038,大模型算法实习生-TikTok业务风控,Fine-tuning,模型微调,人工逐条语义映射：Fine-tuning归入模型微调
JD038,大模型算法实习生-TikTok业务风控,Prompt Engineering,Prompt Engineering,项目泛抽取词典
JD038,大模型算法实习生-TikTok业务风控,向量数据库,RAG,项目泛抽取词典
JD038,大模型算法实习生-TikTok业务风控,LangChain,LangChain,项目泛抽取词典
JD038,大模型算法实习生-TikTok业务风控,AutoGen,Agent,人工逐条语义映射：AutoGen归入Agent
JD038,大模型算法实习生-TikTok业务风控,Agent,Agent,人工确认的缩写/大小写等价
JD039,搜索算法工程师-抖音,机器学习,Machine Learning,项目泛抽取词典
JD039,搜索算法工程师-抖音,深度学习,Machine Learning,项目泛抽取词典
JD039,搜索算法工程师-抖音,NLP,NLP,项目泛抽取词典
JD039,搜索算法工程师-抖音,计算机视觉,计算机视觉,项目泛抽取词典
JD039,搜索算法工程师-抖音,CTR预估,CTR/CVR,人工逐条语义映射：CTR预估归入CTR/CVR
JD039,搜索算法工程师-抖音,图神经网络,知识图谱,项目泛抽取词典
JD039,搜索算法工程师-抖音,Linux,Linux,项目泛抽取词典
JD039,搜索算法工程师-抖音,C++,C/C++,项目泛抽取词典
JD039,搜索算法工程师-抖音,Python,Python,项目泛抽取词典
JD039,搜索算法工程师-抖音,搜索算法,AI算法,人工逐条语义映射：搜索算法归入AI算法
JD039,搜索算法工程师-抖音,CV,Computer Vision,人工确认的缩写/大小写等价
JD040,多模态大模型算法工程师-商业信任与安全,C/C++,C/C++,人工确认的缩写/大小写等价
JD040,多模态大模型算法工程师-商业信任与安全,Python,Python,项目泛抽取词典
JD040,多模态大模型算法工程师-商业信任与安全,多模态,Multimodal AI,项目泛抽取词典
JD040,多模态大模型算法工程师-商业信任与安全,大模型训练,模型训练,项目泛抽取词典
JD040,多模态大模型算法工程师-商业信任与安全,强化学习,Machine Learning,项目泛抽取词典
JD040,多模态大模型算法工程师-商业信任与安全,NLP,NLP,项目泛抽取词典
JD041,推荐算法工程师-分发与互动,推荐算法,Machine Learning,项目泛抽取词典
JD041,推荐算法工程师-分发与互动,机器学习,Machine Learning,项目泛抽取词典
JD041,推荐算法工程师-分发与互动,NLP,NLP,项目泛抽取词典
JD041,推荐算法工程师-分发与互动,图神经网络,知识图谱,项目泛抽取词典
JD041,推荐算法工程师-分发与互动,模型压缩,模型压缩,项目泛抽取词典
JD041,推荐算法工程师-分发与互动,模型加速,模型推理,人工逐条语义映射：模型加速归入模型推理优化
JD041,推荐算法工程师-分发与互动,多模态,Multimodal AI,项目泛抽取词典
JD042,推荐大模型算法实习生-抖音直播,机器学习,Machine Learning,项目泛抽取词典
