skill,kg_display_skill,skill_type,confirmation_min_job_mentions,first_seen_month,first_seen_standard_jobs,first_seen_job_count,is_left_censored,migration_confidence,migration_interpretation,latest_seen_month,latest_covered_job_count,cumulative_covered_job_count,spread_job_count,spread_standard_jobs,all_standard_jobs,confirmed_first_seen_month,confirmed_first_seen_standard_jobs,confirmed_first_seen_job_count,confirmed_cumulative_covered_job_count,confirmed_spread_job_count,confirmed_spread_standard_jobs,confirmed_migration_path,peak_monthly_covered_job_count,peak_monthly_covered_job_month,total_skill_mentions,migration_path,updated_at
ASR,大模型,new,2,2024-12,语音算法工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,3,2,技术支持工程师; 客户端开发工程师,语音算法工程师; 技术支持工程师; 客户端开发工程师,2025-01,语音算法工程师,1,2,1,技术支持工程师,2025-01: 语音算法工程师 -> 2025-05: 技术支持工程师,2,2025-09,26,2024-12: 语音算法工程师 -> 2025-04: 技术支持工程师 -> 2025-09: 客户端开发工程师,2026-08-08T05:27:55+00:00
AUTOSAR,行业应用,traditional,2,2024-12,嵌入式软件工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,4,3,测试工程师; 安全工程师; 驱动开发工程师,嵌入式软件工程师; 测试工程师; 安全工程师; 驱动开发工程师,2025-05,嵌入式软件工程师,1,2,1,驱动开发工程师,2025-05: 嵌入式软件工程师 -> 2026-07: 驱动开发工程师,2,2025-06,9,2024-12: 嵌入式软件工程师 -> 2025-06: 测试工程师 -> 2025-10: 安全工程师 -> 2026-07: 驱动开发工程师,2026-08-08T05:27:55+00:00
Agent,大模型,new,2,2025-01,AI Agent应用工程师; AI Agent算法工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,8,11,9,AI产品经理; 大模型应用工程师; 测试开发工程师; 后端开发工程师; 软件架构师; 全栈开发工程师; 前端开发工程师; 解决方案工程师; DevOps工程师,AI Agent应用工程师; AI Agent算法工程师; AI产品经理; 大模型应用工程师; 测试开发工程师; 后端开发工程师; 软件架构师; 全栈开发工程师; 前端开发工程师; 解决方案工程师; DevOps工程师,2025-01,AI Agent应用工程师; AI Agent算法工程师,2,8,6,AI产品经理; 后端开发工程师; 全栈开发工程师; 前端开发工程师; DevOps工程师; 大模型应用工程师,2025-01: AI Agent应用工程师; AI Agent算法工程师 -> 2025-03: AI产品经理 -> 2025-09: 后端开发工程师 -> 2025-10: 全栈开发工程师 -> 2025-12: 前端开发工程师 -> 2026-04: DevOps工程师 -> 2026-07: 大模型应用工程师,8,2026-07,118,2025-01: AI Agent应用工程师; AI Agent算法工程师 -> 2025-03: AI产品经理; 大模型应用工程师 -> 2025-06: 测试开发工程师 -> 2025-07: 后端开发工程师; 软件架构师 -> 2025-09: 全栈开发工程师 -> 2025-12: 前端开发工程师 -> 2026-01: 解决方案工程师 -> 2026-03: DevOps工程师,2026-08-08T05:27:55+00:00
Ai coding,AI,new,2,2025-03,大模型应用工程师; 测试开发工程师; 软件开发工程师,3,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,6,11,8,前端开发工程师; 全栈开发工程师; 后端开发工程师; AI产品经理; 软件架构师; DevOps工程师; 测试工程师; 质量工程师,大模型应用工程师; 测试开发工程师; 软件开发工程师; 前端开发工程师; 全栈开发工程师; 后端开发工程师; AI产品经理; 软件架构师; DevOps工程师; 测试工程师; 质量工程师,2025-03,测试开发工程师,1,8,7,大模型应用工程师; 前端开发工程师; 全栈开发工程师; 软件开发工程师; AI产品经理; DevOps工程师; 测试工程师,2025-03: 测试开发工程师 -> 2025-04: 大模型应用工程师 -> 2025-05: 前端开发工程师 -> 2025-06: 全栈开发工程师 -> 2025-08: 软件开发工程师 -> 2025-10: AI产品经理 -> 2026-04: DevOps工程师 -> 2026-06: 测试工程师,8,2026-06,107,2025-03: 大模型应用工程师; 测试开发工程师; 软件开发工程师 -> 2025-04: 前端开发工程师 -> 2025-05: 全栈开发工程师; 后端开发工程师 -> 2025-09: AI产品经理 -> 2025-11: 软件架构师 -> 2026-03: DevOps工程师 -> 2026-04: 测试工程师 -> 2026-06: 质量工程师,2026-08-08T05:27:55+00:00
Android,软件开发,traditional,2,2024-12,Android开发工程师; iOS开发工程师; 客户端开发工程师; 通信工程师; 驱动开发工程师,5,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,2,5,0,,Android开发工程师; iOS开发工程师; 客户端开发工程师; 通信工程师; 驱动开发工程师,2024-12,iOS开发工程师; 客户端开发工程师,2,4,2,驱动开发工程师; Android开发工程师,2024-12: iOS开发工程师; 客户端开发工程师 -> 2025-01: 驱动开发工程师 -> 2025-02: Android开发工程师,5,2024-12,73,2024-12: Android开发工程师; iOS开发工程师; 客户端开发工程师; 通信工程师; 驱动开发工程师,2026-08-08T05:27:55+00:00
Android Framework,软件开发,traditional,2,2024-12,Android开发工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-06,1,1,0,,Android开发工程师,2025-02,Android开发工程师,1,1,0,,2025-02: Android开发工程师,1,2026-06,13,2024-12: Android开发工程师,2026-08-08T05:27:55+00:00
Angular,编程语言,traditional,2,2024-12,前端开发工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,1,0,,前端开发工程师,2025-01,前端开发工程师,1,1,0,,2025-01: 前端开发工程师,1,2026-07,23,2024-12: 前端开发工程师,2026-08-08T05:27:55+00:00
AutoGen,大模型,new,2,2025-02,AI Agent应用工程师; AI Agent算法工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,3,7,5,大模型应用工程师; 软件架构师; 测试开发工程师; AI产品经理; 解决方案工程师,AI Agent应用工程师; AI Agent算法工程师; 大模型应用工程师; 软件架构师; 测试开发工程师; AI产品经理; 解决方案工程师,2025-02,AI Agent应用工程师; AI Agent算法工程师,2,3,1,软件架构师,2025-02: AI Agent应用工程师; AI Agent算法工程师 -> 2025-04: 软件架构师,4,2026-06,70,2025-02: AI Agent应用工程师; AI Agent算法工程师 -> 2025-04: 大模型应用工程师; 软件架构师 -> 2025-09: 测试开发工程师 -> 2026-02: AI产品经理 -> 2026-06: 解决方案工程师,2026-08-08T05:27:55+00:00
C/C++,编程语言,traditional,2,2024-12,AI Agent应用工程师; AI Agent算法工程师; AI Infra工程师; AIGC算法工程师; Android开发工程师; C++开发工程师; Go开发工程师; Java开发工程师; Python开发工程师; iOS开发工程师; 云计算工程师; 后端开发工程师; 图形图像工程师; 多模态算法工程师; 大模型测试工程师; 大模型算法工程师; 安全工程师; 客户端开发工程师; 嵌入式软件工程师; 广告算法工程师; 技术支持工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 数据开发工程师; 数据挖掘算法工程师; 服务器工程师; 机器人软件工程师; 机器学习算法工程师; 测试开发工程师; 电源工程师; 硬件工程师; 算法工程师; 算法研究员; 系统软件工程师; 网络安全工程师; 自动驾驶算法工程师; 芯片设计工程师; 芯片验证工程师; 解决方案工程师; 计算机视觉算法工程师; 语音算法工程师; 软件开发工程师; 软件架构师; 运维工程师; 通信工程师; 音视频工程师; 风控算法工程师; 驱动开发工程师,50,1,low,观测起点已覆盖多个岗位，只能说明观测期内的覆盖和扩散，不能推断真实起源岗位,2026-07,44,61,11,AI安全工程师; AI应用工程师; DevOps工程师; NLP算法工程师; 测试工程师; 网络工程师; 芯片测试工程师; 机器人算法工程师; 数据仓库工程师; 数据分析师; 信息安全工程师,AI Agent应用工程师; AI Agent算法工程师; AI Infra工程师; AIGC算法工程师; Android开发工程师; C++开发工程师; Go开发工程师; Java开发工程师; Python开发工程师; iOS开发工程师; 云计算工程师; 后端开发工程师; 图形图像工程师; 多模态算法工程师; 大模型测试工程师; 大模型算法工程师; 安全工程师; 客户端开发工程师; 嵌入式软件工程师; 广告算法工程师; 技术支持工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 数据开发工程师; 数据挖掘算法工程师; 服务器工程师; 机器人软件工程师; 机器学习算法工程师; 测试开发工程师; 电源工程师; 硬件工程师; 算法工程师; 算法研究员; 系统软件工程师; 网络安全工程师; 自动驾驶算法工程师; 芯片设计工程师; 芯片验证工程师; 解决方案工程师; 计算机视觉算法工程师; 语音算法工程师; 软件开发工程师; 软件架构师; 运维工程师; 通信工程师; 音视频工程师; 风控算法工程师; 驱动开发工程师; AI安全工程师; AI应用工程师; DevOps工程师; NLP算法工程师; 测试工程师; 网络工程师; 芯片测试工程师; 机器人算法工程师; 数据仓库工程师; 数据分析师; 信息安全工程师,2024-12,AI Agent应用工程师; AI Infra工程师; Android开发工程师; iOS开发工程师; 安全工程师; 客户端开发工程师; 嵌入式软件工程师; 技术支持工程师; 数据开发工程师; 测试开发工程师; 硬件工程师; 自动驾驶算法工程师; 解决方案工程师; 软件架构师; 通信工程师; 驱动开发工程师,16,60,44,AI Agent算法工程师; AIGC算法工程师; AI应用工程师; C++开发工程师; DevOps工程师; Go开发工程师; Java开发工程师; Python开发工程师; 后端开发工程师; 图形图像工程师; 多模态算法工程师; 大模型测试工程师; 大模型算法工程师; 广告算法工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 服务器工程师; 机器人软件工程师; 机器学习算法工程师; 电源工程师; 算法工程师; 算法研究员; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 芯片验证工程师; 计算机视觉算法工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 音视频工程师; 风控算法工程师; AI安全工程师; NLP算法工程师; 云计算工程师; 数据挖掘算法工程师; 测试工程师; 机器人算法工程师; 芯片测试工程师; 网络工程师; 数据仓库工程师; 数据分析师,2024-12: AI Agent应用工程师; AI Infra工程师; Android开发工程师; iOS开发工程师; 安全工程师; 客户端开发工程师; 嵌入式软件工程师; 技术支持工程师; 数据开发工程师; 测试开发工程师; 硬件工程师; 自动驾驶算法工程师; 解决方案工程师; 软件架构师; 通信工程师; 驱动开发工程师 -> 2025-01: AI Agent算法工程师; AIGC算法工程师; AI应用工程师; C++开发工程师; DevOps工程师; Go开发工程师; Java开发工程师; Python开发工程师; 后端开发工程师; 图形图像工程师; 多模态算法工程师; 大模型测试工程师; 大模型算法工程师; 广告算法工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 服务器工程师; 机器人软件工程师; 机器学习算法工程师; 电源工程师; 算法工程师; 算法研究员; 系统软件工程师; 网络安全工程师; 芯片设计工程师; 芯片验证工程师; 计算机视觉算法工程师; 语音算法工程师; 软件开发工程师; 运维工程师; 音视频工程师; 风控算法工程师 -> 2025-02: AI安全工程师; NLP算法工程师; 云计算工程师; 数据挖掘算法工程师; 测试工程师 -> 2025-03: 机器人算法工程师; 芯片测试工程师 -> 2025-04: 网络工程师 -> 2025-12: 数据仓库工程师 -> 2026-05: 数据分析师,52,2025-01,1225,2024-12: AI Agent应用工程师; AI Agent算法工程师; AI Infra工程师; AIGC算法工程师; Android开发工程师; C++开发工程师; Go开发工程师; Java开发工程师; Python开发工程师; iOS开发工程师; 云计算工程师; 后端开发工程师; 图形图像工程师; 多模态算法工程师; 大模型测试工程师; 大模型算法工程师; 安全工程师; 客户端开发工程师; 嵌入式软件工程师; 广告算法工程师; 技术支持工程师; 控制算法工程师; 推荐算法工程师; 搜索算法工程师; 数据库工程师; 数据开发工程师; 数据挖掘算法工程师; 服务器工程师; 机器人软件工程师; 机器学习算法工程师; 测试开发工程师; 电源工程师; 硬件工程师; 算法工程师; 算法研究员; 系统软件工程师; 网络安全工程师; 自动驾驶算法工程师; 芯片设计工程师; 芯片验证工程师; 解决方案工程师; 计算机视觉算法工程师; 语音算法工程师; 软件开发工程师; 软件架构师; 运维工程师; 通信工程师; 音视频工程师; 风控算法工程师; 驱动开发工程师 -> 2025-01: AI安全工程师; AI应用工程师; DevOps工程师; NLP算法工程师; 测试工程师; 网络工程师; 芯片测试工程师 -> 2025-02: 机器人算法工程师 -> 2025-06: 数据仓库工程师 -> 2025-12: 数据分析师 -> 2026-02: 信息安全工程师,2026-08-08T05:27:55+00:00
CI/CD,系统与运维,traditional,2,2025-01,DevOps工程师; iOS开发工程师,2,0,medium,传统技能在观测期内首次出现，可分析样本内扩散，但不代表行业真实首次出现,2026-02,1,4,2,测试工程师; 测试开发工程师,DevOps工程师; iOS开发工程师; 测试工程师; 测试开发工程师,2025-03,DevOps工程师,1,2,1,iOS开发工程师,2025-03: DevOps工程师 -> 2025-09: iOS开发工程师,2,2025-01,6,2025-01: DevOps工程师; iOS开发工程师 -> 2025-06: 测试工程师 -> 2026-02: 测试开发工程师,2026-08-08T05:27:55+00:00
CSS,编程语言,traditional,2,2024-12,前端开发工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,1,4,3,嵌入式软件工程师; Go开发工程师; 网络工程师,前端开发工程师; 嵌入式软件工程师; Go开发工程师; 网络工程师,2025-01,前端开发工程师,1,3,2,嵌入式软件工程师; 网络工程师,2025-01: 前端开发工程师 -> 2025-06: 嵌入式软件工程师 -> 2026-05: 网络工程师,3,2025-05,35,2024-12: 前端开发工程师 -> 2025-04: 嵌入式软件工程师 -> 2025-05: Go开发工程师; 网络工程师,2026-08-08T05:27:55+00:00
CUDA,硬件与芯片,new,2,2024-12,AI Infra工程师; 系统软件工程师; 芯片设计工程师,3,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,5,9,6,大模型算法工程师; 芯片验证工程师; 后端开发工程师; DevOps工程师; 云计算工程师; 解决方案工程师,AI Infra工程师; 系统软件工程师; 芯片设计工程师; 大模型算法工程师; 芯片验证工程师; 后端开发工程师; DevOps工程师; 云计算工程师; 解决方案工程师,2024-12,AI Infra工程师; 系统软件工程师,2,6,4,芯片设计工程师; 芯片验证工程师; DevOps工程师; 云计算工程师,2024-12: AI Infra工程师; 系统软件工程师 -> 2025-01: 芯片设计工程师 -> 2025-02: 芯片验证工程师 -> 2025-10: DevOps工程师 -> 2025-11: 云计算工程师,7,2026-04,125,2024-12: AI Infra工程师; 系统软件工程师; 芯片设计工程师 -> 2025-01: 大模型算法工程师; 芯片验证工程师 -> 2025-07: 后端开发工程师 -> 2025-09: DevOps工程师 -> 2025-10: 云计算工程师 -> 2026-04: 解决方案工程师,2026-08-08T05:27:55+00:00
ClickHouse,数据工程,traditional,2,2024-12,数据开发工程师,1,1,medium,技能在观测起点已出现，首现岗位是观测窗口内首批岗位，不等同于真实起源岗位,2026-07,3,4,3,测试开发工程师; 数据工程师; 数据平台工程师,数据开发工程师; 测试开发工程师; 数据工程师; 数据平台工程师,2024-12,数据开发工程师,1,2,1,数据平台工程师,2024-12: 数据开发工程师 -> 2026-07: 数据平台工程师,3,2026-07,24,2024-12: 数据开发工程师 -> 2025-09: 测试开发工程师 -> 2026-07: 数据工程师; 数据平台工程师,2026-08-08T05:27:55+00:00
Context Engineering,大模型,new,2,2025-03,AI Agent应用工程师; 大模型应用工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,4,9,7,软件架构师; AI Agent算法工程师; AI产品经理; 后端开发工程师; 测试开发工程师; 解决方案工程师; 全栈开发工程师,AI Agent应用工程师; 大模型应用工程师; 软件架构师; AI Agent算法工程师; AI产品经理; 后端开发工程师; 测试开发工程师; 解决方案工程师; 全栈开发工程师,2025-03,AI Agent应用工程师,1,4,3,大模型应用工程师; 软件架构师; AI产品经理,2025-03: AI Agent应用工程师 -> 2025-04: 大模型应用工程师; 软件架构师 -> 2025-11: AI产品经理,5,2026-06,70,2025-03: AI Agent应用工程师; 大模型应用工程师 -> 2025-04: 软件架构师 -> 2025-05: AI Agent算法工程师 -> 2025-10: AI产品经理; 后端开发工程师 -> 2025-11: 测试开发工程师 -> 2026-02: 解决方案工程师 -> 2026-06: 全栈开发工程师,2026-08-08T05:27:55+00:00
DPO,大模型,new,2,2025-01,NLP算法工程师; 大模型算法工程师,2,0,high,技能在观测期内首次出现，后续扩散路径可用于分析样本内技能迁移,2026-07,4,7,5,AI安全工程师; AI Agent算法工程师; AI产品经理; 大模型测试工程师; 解决方案工程师,NLP算法工程师; 大模型算法工程师; AI安全工程师; AI Agent算法工程师; AI产品经理; 大模型测试工程师; 解决方案工程师,2025-02,AI安全工程师; NLP算法工程师; 大模型算法工程师,3,5,2,AI产品经理; 大模型测试工程师,2025-02: AI安全工程师; NLP算法工程师; 大模型算法工程师 -> 2025-07: AI产品经理 -> 2025-09: 大模型测试工程师,6,2025-12,96,2025-01: NLP算法工程师; 大模型算法工程师 -> 2025-02: AI安全工程师 -> 2025-03: AI Agent算法工程师 -> 2025-06: AI产品经理 -> 2025-09: 大模型测试工程师 -> 2025-12: 解决方案工程师,2026-08-08T05:27:55+00:00
