source_job_title,jd_text,gold_standard_job,gold_skills
前端开发工程师-飞书项目,"岗位职责：
团队介绍：飞书项目(Meego)是为复杂场景打造的专业项目管理平台，通过标准化工作流，大幅提升协作效率，获取项目数据洞察，驱动项目成功。目前，飞书项目已经很好的支持了近千家来自多个行业、多个国家和地区的客户在软件研发、硬件开发、敏捷开发、企业经营管理、反馈管理等复杂协同场景。

1、负责核心模块系统设计、落地和持续迭代；
2、平台需求模块设计与研发，为最终用户提供业界领先、易用的平台体验；
3、持续优化前端工程架构/研发工具、追求极致效率、性能和稳定性；
4、通过前沿的技术方案持续革新平台体验。

任职要求：
1、深刻理解计算机原理，有良好的数据结构和算法基础，扎实的编程能力；
2、丰富的前端工程研发经验，熟悉前端性能优化、构建、CI/CD等流程；
3、深刻理解浏览器原理，掌握至少一种前端框架；
4、熟悉前后端协作模式，具有良好的技术设计和抽象能力；
5、产品意识良好，了解基本产品知识，能站在用户角度思考问题；
6、热爱编程，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能及时关注和学习业界最新技术；积极乐观，责任心强，工作认真细致，有良好的团队沟通和协作能力。",前端开发工程师,前端工程; CI/CD; 前端框架; 前后端协作
数据分析师-TikTok,"岗位职责：
团队介绍：TikTok研发团队，旨在实现TikTok业务的研发工作，搭建及维护业界领先的产品。加入我们，你能接触到包括用户增长、社交、直播、电商C端、内容创造、内容消费等核心业务场景，支持产品在全球赛道上高速发展；也能接触到包括服务架构、基础技术等方向上的技术挑战，保障业务持续高质量、高效率、且安全地为用户服务；同时还能为不同业务场景提供全面的技术解决方案，优化各项产品指标及用户体验。 
在这里， 有大牛带队与大家一同不断探索前沿， 突破想象空间。 在这里，你的每一行代码都将服务亿万用户。在这里，团队专业且纯粹，合作氛围平等且轻松。目前在北京，上海，杭州、广州、深圳分别开放多个岗位机会。

1、负责TikTok相关业务的数据分析工作，包括指标体系建设，针对不同项目，设计科学合理的指标体系，推进数据上报、数仓建设、看板建设全链路的工作，完成指标体系落地；基于指标体系，进行指标相关性分析、项目目标拆解、指标监控预警和指标归因分析等；
2、业务分析和挖掘，针对项目所处的不同阶段，基于数据科学能力，提供相应的数据分析服务和数据挖掘服务；如可行性分析和价值论证、ROI分析、现状分析、策略挖掘和机会点挖掘等；
3、效果评估，通过AB实验、因果推断等评估方法对业务动作进行评估，并进行深入的归因分析，支撑科学决策和挖掘优化方向；
4、方法论沉淀和工具建设，对实验、分析、建模方法论进行沉淀和创新，并建设相应的平台工具。

任职要求：
1、计算机、统计、数学相关专业优先，精通SQL以及至少一种脚本语言，熟练使用常见的数据分析工具；
2、能够独立负责业务的数据分析，有业务数据驱动的实践经验，并能推进优化方案落地执行；
3、对数据敏感，能够把业务问题提炼为数据问题，并提供数据科学解决方案；
4、优秀的逻辑思维能力和沟通能力；
5、加分项：可英文办公。",数据分析师,SQL; 数据科学
AI解决方案专家,"岗位职责：
1、业务场景的 AI 机会挖掘：深入理解共享单车/电单车/充电宝/SaaS 硬件的研发流程与运维体系，系统梳理AI可介入的关键节点；识别高价值场景：如设备故障预测、运维调度优化、硬件设计辅助、质量检测智能化等；
2、硬件研发流程 AI 化改造：推动 AI 工具（Agent、大模型辅助设计等）融入固件开发、电路设计、测试验证等研发环节；建立AI辅助研发的工具链和规范，提升研发人效；
3、硬件运维流程 AI 化改造：基于外场设备数据，推动预测性维护、远程故障诊断、智能调度等 AI 能力落地；与运维、数据、算法团队协同，从数据采集→模型应用→系统集成形成完整闭环；
4、AI落地推进与项目管理：将业务痛点转化为可落地的AI需求，输出技术方案和产品化路径；协调内外部资源推动项目从立项到上线的全流程交付，持续跟踪 ROI；
5、技术前沿跟踪与内部赋能：跟踪IoT/硬件领域AI应用趋势，评估新技术在本业务的适用性；定期组织内部分享，提升团队 AI 工具使用能力。

任职要求：
1、本科及以上学历，计算机、电子工程、自动化、通信等相关专业；
2、2年以上AI解决方案或AI产品经理工作经验，5年以上智能硬件/消费电子/IoT行业相关工作经验，深入了解 IoT/嵌入式设备的研发流程或运维体系；有共享出行、共享设备、智能锁、车联网等相关行业经验者优先；
3、熟练使用主流 AI 工具（大模型、AI Copilot、自动化测试工具等），有用AI工具实质性提升研发/运维效率的实践经验；
4、了解 AI 基础能力（大模型、时序预测、异常检测等），能与算法团队有效协作，非强制要求独立训练模型；
5、具备良好的业务洞察能力，能将外场 IoT 设备的运营痛点转化为AI技术需求；
6、较强的跨部门推动能力，能在研发、运维、数据、产品等多方协同中有效推进AI项目落地",解决方案工程师,大模型; AI Copilot; IoT; 嵌入式设备; Agent
客户端开发实习生-移动OS,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：我们隶属于产品研发与工程架构部，是字节跳动在智能硬件领域的软件技术攻坚力量—— 聚焦 AI 与智能硬件的深度融合，以 “让人与设备的交互更自然、更便捷” 为目标，探索前沿 AI 技术的落地场景，打造行业领先的智能硬件综合解决方案。
在这里，你将与一支顶尖技术团队并肩：
-直击 AI 与硬件结合的核心技术难题，参与从 “技术探索” 到 “场景落地” 的全链路研发；
-主导或深度参与关键技术突破，用创新定义智能硬件的交互未来；
-站在行业前沿，将技术理想转化为千万用户可感知的产品体验。
如果你心怀对技术的热忱，渴望在 AI 与智能硬件的赛道上突破自我、创造价值，我们期待你的加入，与我们一起解锁更多技术可能，共筑智能交互的新生态！

1、负责Android/iOS应用及服务的设计、开发及实现工作，与产品，设计，QA等团队保持良好沟通，共同保证产品迭代顺利推进；
2、参与Android/iOS端应用品质优化、架构设计等相关研发工作；
3、关注前沿技术，结合业务特点，推动新技术落地。

任职要求：
1、2027届本科及以上学历在读，计算机、软件工程、自动化、通信工程等相关专业优先；
2、熟练掌握Java/Kotlin/Swift/Objective-C/C++，熟悉Android SDK/iOS系统特性/常用组件；
3、对Android底层技术/iOS基础框架有一定理解，熟悉Android Framework/iOS系统机制优先；
4、具备扎实的编程功底，良好的编程习惯，能够设计优秀的代码结构，不断迭代重构；
5、具备良好的自驱力和学习能力，优秀的沟通表达能力，具有一定的产品和业务思维。",客户端开发工程师,Java; Kotlin; Swift; C++; iOS; Android
AIGC算法实习生-GenAI,"岗位职责：
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：GenAI团队专注于开发跨模态生成式AI前沿技术（涵盖文本、图像、视频、落地页等），为广告主、代理商和创作者打造行业领先的创意提效及投放提效解决方案。我们致力于通过生成式AI技术实现创意工作流自动化，全面提升客户商业收益。团队立志引领广告科技与创意产业的生成式AI变革，为全球客户、创作者及整个生态体系赋能并创造价值。

1、聚焦广告商业化核心场景，结合内外部基座模型自研适配于商业化业务场景的统一多模态大模型（MLLM），关注音视频统一理解技术突破和营销多任务场景能力适配与泛化，构建效果和性能俱佳的商业化营销模型；
2、支持广告创意生态优化，构建视频理解、定位和编辑一体化的创意视频编辑解决方案，帮助广告主优化创意质量，优化创意生态、提升投放转化效果；
3、探索强化学习与智能体（Agent）在商业化场景的创新应用，跟踪AIGC（图像/视频编辑）、文本大模型（LLM）、多模态理解领域前沿技术（如Qwen2.5-Omni、Gemini 等模型核心技术），推动算法创新与实际落地，赋能广告业务增长。

任职要求：
1、本科及以上学历在读，计算机、人工智能、数学等相关专业优先；
2、具备扎实的机器学习 / 深度学习理论基础，有多模态大模型（MLLM）、文本大模型（LLM）或视频生成/编辑相关研究背景、项目经验者优先；
3、熟练掌握PyTorch等深度学习框架及Python编程语言；
4、发表过领域顶级会议文章（NeurIPS、ICML、ICLR、ACL、Interspeech、ICASSP等）相关实习经验或者ACM竞赛获奖者优先；
5、优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情。",AIGC算法工程师,机器学习; 深度学习; Multimodal AI; LLM; PyTorch; Python; AIGC
大模型应用实习生（服务智能）,"岗位职责：
团队介绍： LongCat Interaction 团队负责智能交互系统的研发与落地。团队依托 LLM 与多智能体架构，打造了WOWService 平台，为美团 App 数亿用户提供高效、个性化、7×24 小时的智能客服服务。在这个团队，我们专注于大模型训练与推理优化，让机器能够理解复杂用户意图、遵守业务规则、主动协作解决问题；我们建设自动化评测体系，用数据飞轮驱动模型持续进化；我们构建multi-agent协同框架，实现跨场景、跨部门的复杂任务处理。我们的使命：用大模型的能力，让每一位用户都能获得即时、准确、温暖的解决方案。

工作内容

1、数据挖掘与构建： 设计并维护高质量训练数据集，构建数据飞轮机制，利用大模型辅助数据生成与清洗，沉淀领域知识；
2、大模型训练： 负责领域大模型post-training技术（不限于SFT、RL、GRM构建），提升模型在交互场景的表现；
3、大模型评测： 构建自动化评测体系，设计skills评估方案，探索self-generated skills 与 human-designed skills 的差距，构建更完善的skills creator；设计基于模型与人工的评估方案，制定业务指标，驱动模型持续迭代优化；
4、多智能体架构： 设计并开发多智能体协作框架，包括多轮交互 Agent、主动服务 Agent、意图理解 Agent 等，实现复杂任务的分治与协同；
5、Co-work Agent： 熟练使用openclaw、claude code等提升工作效率、实现更多场景需求。

任职要求：
1、2026 届获得本科及以上学历，计算机相关专业；
2、在大模型训练、智能体、提示词工程、大模型评测等领域有实际开发经验者优先；
3、有复杂多智能体系统设计经验者优先；
4、有好奇心，喜欢新事物，善于合作，有创新精神；
5、至少熟悉一门计算机编程语言，包括但不限于 C/C++/Java/Go/Python；
6、有高水平论文的优先，包括但不限于ICLR、NeurIPS、ICML、 ACL、EMNLP、SIGIR 等；实践动手能力强，ACM ICPC、NOI/IOI、TopCoder、Kaggle 比赛获奖者优先。",大模型应用工程师,大模型训练; Agent; 提示词工程; 大模型评测; C/C++; Java; Go; Python
机器学习算法工程师-时效表达方向,"岗位职责：
1、ETA 精准预测：深入研究影响包裹时效的各种因素，构建深度学习和统计模型，为电商物流提供端到端预计到达时间 (ETA) 预测。并结合商家行为/物流网络刻画等因子刻画降低ETA预测的不确定性；
2、个性化时效表达：构建基于因果推断的 ETA 表达模型， 基于用户画像、历史行为、偏好等数据，构建个性化的 ETA 展示策略和物流服务方案，为用户提供可靠/符合期待的物流服务体验；
3、因果推断驱动的决策优化：将因果推断应用于表达决策、分单决策等场景，制定更科学合理的决策方案，优化用户体验的同时促进消费者的购买转化；
4、在线动态决策：研究和开发基于在线优化技术的动态决策方案，做好表达准确率/超时率/不确定性/转化指标/体验指标之间的动态权衡；
5、包裹轨迹预测与异常检测：利用深度学习、时间序列分析等技术，对包裹的时空轨迹序列进行建模与预测，并结合因果推断识别潜在的异常情况，提前预警并采取干预措施，提升物流履约的稳定性和可靠性。

任职要求：
1、在机器学习 / 因果推断 / 运筹优化 / 供应链物流行业 的某个领域有深入的研究或者经验，有较强的实践能力；
2、本科及以上学历，数学、统计学、计算机、供应链与物流等相关专业；
3、具备扎实的数据结构和算法设计基础，熟练使用 Python，并熟悉至少一种深度学习框架（如 TensorFlow, PyTorch）；
4、熟悉因果推断、强化学习、在线优化等相关理论和方法，并有相关项目经验者优先；
5、有较强的学习能力和好奇心，逻辑清晰，具备良好的团队合作和沟通能力。",机器学习算法工程师,机器学习; Python; TensorFlow; PyTorch; 强化学习; 深度学习; ETA算法
风控算法工程师-生活服务,"岗位职责：
1、负责字节跳动生活服务场景的作弊风险的发现与治理，包括准入、交易、营销、履约、服务等场景；
2、推进LLM在风控领域的迭代与应用，探索多模态技术、结构化（序列、图）数据结合LLM在风控场景的落地，提升复杂风控场景下的风险识别精度与决策可解释性；
3、推进风控Agentic AI的架构设计和工业化落地，优化复杂工具调用、长短期记忆管理、长链路任务编排和Multi-Agent协同等，打造具备自演进能力的下一代智能风控架构；
4、构建业内领先的交易风控体系，持续探索算法方案创新，维护平台公平可信，为业务保驾护航。

任职要求：
1、扎实的机器学习与深度学习基础，具备模型研发经验，熟悉LLM、VLM、RLHF等相关技术；
2、有较强的工程实现能力和代码调优能力，熟悉掌握各类AI工具，熟练掌握PyTorch或TensorFlow；
3、具备跨团队沟通和项目推动能力，能在复杂场景下提出创新解决方案并落地；
4、具备系统的研究思维与独立思考能力，对风控领域的复杂性、对抗性有浓厚兴趣，敢于挑战现有技术范式。",风控算法工程师,机器学习; 深度学习; LLM; VLM; RLHF; PyTorch; TensorFlow; 代码调优
机器人算法评测实习生-Seed,"岗位职责：
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：字节跳动 Seed 团队成立于 2023 年，致力于寻找通用智能的新方法，追求智能上限，为科技和社会发展作出贡献。
Seed 团队在 AI 领域拥有长期愿景与决心，团队研究方向涵盖 MLLM、GenMedia、AI for Science、机器人等，在中国、新加坡、美国等地设有实验室和岗位。目前，团队已推出业界领先的通用大模型以及前沿的多模态能力，支持豆包、即梦、TRAE 等超过 50 个应用场景，并通过火山引擎开放给企业客户。第三方数据显示，豆包 App 用户量在中国市场排名第一，豆包大模型日均 Token 调用量行业领先。

1、负责机器人算法相关交付的质量把控；
2、负责机器人算法迭代质量体系的建设及效果评测；
3、负责操作、移动、交互等模型的评测体系设计与落地；
4、负责评测场景和评测集的设计，评测工具平台的设计推进。

任职要求：
1、本科及以上学历在读，计算机、自动化、机器人、统计学等相关专业；
2、熟悉模型评测流程，具备VLA、VLM等多模态模型的评测或算法训练经验；
3、熟练使用C++、Java、Go、Python任一编程语言；
4、具备良好的团队沟通和协作能力、自我驱动和创新能力；
5、有机器人算法开发、模型训练或相关研发经验者优先。",机器人算法工程师,模型评测; VLA; VLM; C++; Java; Go; Python; 机器人算法; 模型训练
AI Agent应用工程师（企业知识库方向）,"岗位职责：
1、负责企业知识库 AI Agent 的设计、开发与上线，支持智能问答、文档检索、任务分解和工具调用；
2、基于 RAG 架构构建知识检索与回答生成链路，持续优化召回效果、回答准确性和响应性能；
3、使用 LangChain、LangGraph 完成 Agent 工作流编排，接入 MCP 和 Function Calling 工具；
4、负责 Agent 服务接口开发、日志监控、异常处理及效果评估。

任职要求：
1、本科及以上学历，计算机、人工智能、软件工程等相关专业；
2、熟练掌握 Python，具备 FastAPI 等后端服务开发经验；
3、熟悉 LangChain、LangGraph，理解 AI Agent 的规划、记忆、工具调用和多轮对话机制；
4、掌握 RAG、向量数据库及知识库构建流程；
5、了解 MCP、Function Calling 等大模型工具调用协议者优先。",AI Agent应用工程师,Python; LangChain; MCP; Agent; RAG; FastAPI
信息安全运营专家-安全与风控,"岗位职责：
团队介绍：安全运营团队是安全部门的协调与沟通核心，负责确保公司全域的安全举措具备可见性、易理解性，并能有效落地执行。
我们统筹战略规划、项目交付及安全意识推广工作，同时推动构建统一的安全文化。
通过推动运营工作的精细化落地与多方协同，助力提升组织信任度，为字节跳动全球安全战略的推进提供支撑。

1、安全风险保障：主导漏洞全生命周期运营、安全风险防控体系搭建，包括但不限于内部风险治理运营及外部SRC漏洞收集与分析，统筹优化安全管理平台建设；
2、战略与执行效率提升：拆解企业安全战略为可执行计划，推动安全开发流程与架构评审，管理跨部门安全项目，建立标准化流程提升问题闭环效率；
3、技术品牌传播与沟通：制定全员安全培训计划，渗透安全文化至业务决策，提升内部人员信息安全意识，建设信息安全对外品牌形象，以及ToB市场策略，协助ToB打开市场。

任职要求：
1、高潜质：逻辑清晰，擅长复杂问题拆解与系统性推进；
2、强协同：能整合技术、业务及外部资源，推动跨团队合作；
3、善沟通：能向管理层、员工及外部机构传递安全价值；
4、经验：3年以上企业安全运营/战略及管理经验，熟悉安全标准（如ISO27001），技术背景非必需，但需快速学习业务逻辑；
5、加分项：安全技术背景及跨文化沟通的语言能力。",信息安全工程师,安全技术
机器人软件工程师（自主导航方向）,"岗位职责：
1、负责移动机器人自主导航软件的设计、开发与部署；
2、基于 ROS2 开发定位、建图、路径规划和运动控制相关功能模块；
3、完成激光雷达、摄像头、IMU 等多传感器数据接入与融合处理；
4、负责机器人软件在 Linux 环境下的调试、性能优化和现场问题定位；
5、使用 Docker 完成机器人软件的环境封装与部署。

任职要求：
1、本科及以上学历，计算机、自动化、机器人、电子信息等相关专业；
2、熟练掌握 C++ 和 Python，具有 Linux 开发经验；
3、熟悉 ROS2 通信机制、节点开发和常用工具链；
4、掌握 SLAM、传感器融合、路径规划中的至少一种核心技术；
5、有移动机器人、无人车或智能设备软件开发项目经验者优先。",机器人软件工程师,ROS; C++; Python; SLAM; 传感器融合; 路径规划; Linux; Docker
Android开发实习生-TikTok泛架构,"岗位职责：
ByteIntern：面向2027届毕业生（2026年9月-2027年8月期间毕业），为符合岗位要求的同学提供转正机会。
团队介绍：TikTok是一个覆盖150个国家和地区的国际短视频平台，我们希望通过TikTok发现真实、有趣的瞬间，让生活更美好。TikTok 在全球各地设有办公室，全球总部位于洛杉矶和新加坡，办公地点还包括纽约、伦敦、都柏林、巴黎、柏林、迪拜、雅加达、首尔和东京等多个城市。

TikTok泛架构团队处于业务和基础架构之间，我们的目标是拥抱AI，构建最先进的业务架构基建，建立公众信任和合规，关注资源管理和成本优化，用户体验和稳定性，提高工程质量和研发效率。在这里你既能感受到技术对上层业务的赋能，又可以提高在架构层面技术深度的理解，期待你的加入！

1、负责TikTok产品客户端（Android/iOS）的相关工作，涉及领域包括但不限于短视频产品的客户端功能迭代和开发、工程架构、构建工具、研发流程、业务架构、性能与体验等；
2、负责TikTok产品的客户端工程技术改造，提升工程品质和开发效率；
3、在指导下，完成关键问题或技术的探索和攻坚，寻找技术创新点，赋能产品和业务研发。

任职要求：
1、2027届本科及以上学历在读，计算机、软件工程等相关专业优先；
2、扎实的计算机、网络和软件开发相关基础，熟悉或掌握至少一门软件开发语言（例如Kotlin、Java、Objective-C、Swift、C、C++、JavaScript）；
3、学习能力强，对客户端开发技术有好奇心，对新兴技术趋势感兴趣；
4、具有较强的学习能力和动手能力，良好的沟通能力和优秀的团队协作能力；
5、加分项：良好的编程习惯，编码思路清晰；有移动端开发经验；热爱移动端开发，在工程技术上追求卓越。",Android开发工程师,Kotlin; Java; Swift; C; C++; JavaScript; 移动端开发
计算机视觉算法工程师,"岗位职责：
1.设计和开发感知深度学习模型，围绕数据智能底层算法（例如主动学习、预训练、数据合成）的设计、开发和优化，提升算法在复杂环境（如光照变化、遮挡、恶劣天气）下的鲁棒性与精度；

2.系统性归纳和处理训练深度学习模型所需的数据集，搭建自动训练闭环，持续提升业务场景的覆盖和模型效果；

3.跟踪模型、算法在真机测试中的表现并处理相关问题；

4.系统性追踪扩散模型、世界模型等前沿技术演进，重点评估在长尾场景生成、策略仿真与风险预测中的技术可行性；

5.负责将AI工具与方法应用于算法研发全流程，提升开发效率与解决方案的智能化水平；

任职要求：
1.熟练掌握模式识别和计算机视觉领域的基础理论和方法； 

2.在主动学习、VLA/多模态大模型、Diffusion/世界模型中的1个或多个方向有深入研究；

3.具备利用AI技术解决复杂工程问题的能力，并能评估其在实际场景中的有效性与局限性；

4.能够快速理解、复现并改进领域前沿成果，具备从算法研究到系统落地的全链条思维；

5.熟练运用AI辅助工具（如代码生成、数据分析、模型调优等）进行算法开发与优化；",计算机视觉算法工程师,模式识别; 计算机视觉; VLA; 多模态大模型; Diffusion; 世界模型; 代码生成; 模型调优
iOS开发实习生-今日头条,"岗位职责：
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：产品覆盖今日头条、头条极速版等各类产品，为上亿用户持续提供优质的资讯、视频等服务。我们通过建立良好的内容生态，鼓励原创优质的内容，为创作者提供优质的服务和创作体验，促进创作和交流，同时我们致力于通过尽可能丰富的内容体裁和尽可能多的分发方式，连接人与信息，丰富大家的精神生活，让人们看到更大的世界。

1、负责今日头条产品的客户端iOS研发；
2、根据今日头条功能需求和设计方案进行开发，完成代码的编写和调试工作；
3、参与产品需求分析，设计系统技术方案，核心代码开发和系统调优；
4、参与各专项技术调研，改进系统性能与稳定性。

任职要求：
1、本科及以上学历在读，计算机、软件工程等相关专业优先；
2、热爱移动产品研发，愿意在移动开发领域深入钻研，并成为专家； 
3、具有扎实的计算机相关基础，有Android/iOS开发经验优先； 
4、对软件产品有强烈的责任心，具备良好的沟通能力和优秀的团队协作能力；
5、每周保证至少4天的实习时间，可实习4个月以上。",iOS开发工程师,Android; iOS; 移动开发
广告算法工程师-国际化品牌广告,"岗位职责：
1、实现支撑高并发请求的高可用广告投放系统，满足广告主投放需求，涉及人群触达、播放、种草等品牌竞价产品；
2、品牌竞价广告出价策略以及流量策略的优化；
3、利用深度学习、大语言模型、多模态模型技术对品牌竞价广告召回、粗排、精排模型算法进行优化；
4、和产品团队配合，设计并开发业界一流的品牌产品。

任职要求：
1、计算机或相关专业，本科及以上学历；
2、扎实的数据结构和算法功底，优秀的编程能力，熟练使用主流编程语言，优先：有海量数据处理和分布式计算开发经验，熟悉Hadoop、Spark框架；
3、有传统机器学习，深度学习相关知识背景，优先：发表过KDD、AAAI、CIKM、WWW、RecSys、NeurlPS、ACL、EMNLP等顶会论文，熟悉TensorFlow/PyTorch/Caffe/MXNet框架和原理；
4、工作态度积极主动，有强烈的主人翁意识和良好的团队协作精神，愿意接受有挑战性的工作；
5、有良好的逻辑思维能力，注重数据分析，能够从海量数据中发现有价值的规律； 
6、有强烈的业务导向意识，技术优化服务于业务目标达成。",广告算法工程师,海量数据处理; 分布式计算; Hadoop; Spark; 机器学习; 深度学习; TensorFlow; PyTorch; Caffe; MXNet
蓝牙嵌入式软件工程师-移动OS,"岗位职责：
1、负责智能硬件的嵌入式软件设计和开发，包括但不限于蓝牙协议栈、音频处理、电源管理、界面等模块；
2、与硬件工程师紧密合作，进行系统集成和调试，确保软硬件的兼容性和稳定性；对软件进行性能优化，提高系统的运行效率和响应速度；
3、善于抓住问题要点，善于解决技术难题，能独立解决问题，负责软件的测试和验证，确保软件的质量和可靠性；
4、跟踪最新的蓝牙技术和嵌入式软件开发技术，为产品的持续改进提供技术支持；
5、编写技术文档，包括软件设计文档、测试报告等。

任职要求：
1、计算机科学、电子工程、信号处理或相关领域的本科学历或硕士学位，能熟练的阅读英语技术文献；
2、5年以上嵌入式软件开发经验，有智能硬件开发经验者优先，音频行业经验优先；
3、精通C/C++，精通实时操作系统（RTOS）；
4、精通蓝牙协议或者WiFi协议，了解蓝牙音频传输技术（如A2DP，HFP）；
5、有良好的逻辑思维和问题解决能力，对新技术有强烈的学习兴趣，愿意接受挑战；
6、能够独立完成智能硬件产品设计和开发工作，同时也能够在团队中有效合作。",嵌入式软件工程师,嵌入式软件; C/C++; RTOS; 蓝牙协议; WiFi协议; 蓝牙音频; HFP; 智能硬件开发
云计算客户支持工程师-火山引擎,"岗位职责：
1、负责火山引擎公有云产品方向的售后支持，作为L1.5线，协助一线工程师处理升级的客户工单；
2、向火山引擎客户提供计算、存储、容器类咨询、指导、解释相关技术问题，收集用户反馈信息，汇总提炼，推动产品不断优化； 
3、负责快速响应客户问题，针对复杂问题，与技术专家或者研发直接合作，确保问题得到高效解决； 
4、负责帮助团队沉淀知识库与技术文档，协助团队其他小组闭环云基础方向的客户问题； 
5、协助管理者推动流程、工具体系的优化，定期为其他小组分享云基础方向培训。

任职要求：
1、本科及以上学历，3年以上技术支持经验，云计算技术背景或者云计算行业从业经验优先；
2、优秀的客户服务意识，良好的服务与沟通技巧； 
3、具备ACP、RHCE、HCIE、CKA等云计算或者操作系统厂商认证优先；  
4、操作系统/云服务器/容器/数据库/存储/网络方向，有一项或多项技术专长；
5、良好的学习能力、敬业精神及团队合作精神，积极主动； 
6、逻辑思维清晰，能够准确表达，接受倒班。",云计算工程师,云计算; 操作系统; 云服务器; 容器; 数据库; 存储
前端开发实习生（AI安全方向）-安全与风控,"岗位职责：
日常实习：面向全体在校生，为符合岗位要求的同学提供为期3个月及以上的项目实践机会。
团队介绍：安全工程团队负责设计、搭建并维护字节跳动的全球安全基础设施、平台及服务。
我们的核心职责是研发具备可扩展性的系统与工具，为公司全域产品的安全运营提供支撑。
通过交付可靠、高性能的安全解决方案，保障字节跳动全球平台的安全，并提升业务韧性。

1、参与AI-SDLC项目开发工作；
2、同产品经理、设计师、后端工程师及其他相关方配合，参与需求讨论、功能设计、需求开发、跟进测试等项目全周期；
3、关注前端前沿技术发展，能够将新知识传递给团队，并且转化到潜在项目中。

任职要求：
1、本科及以上学历在读，计算机、软件工程等相关专业者优先；
2、熟悉HTML，CSS，JavaScript和HTTP协议基本知识，有React+TypeScript项目经验；
3、有实习经验、开源作品者优先；
4、有良好的产品意识，积极乐观，认真负责，乐于协作；
5、每周可实习4天及以上，可实习3个月以上。",前端开发工程师,HTML; CSS; JavaScript; HTTP; React; TypeScript
NLP算法工程师-抖音智能客服,"岗位职责：
1、负责抖音客服场景下的能力建设，结合LLM推动新一代智能客服方案，建设托管与坐席辅助能力，升级C端交互方式，由技术推动不断改善用户体验；
2、负责LLM/MLLM技术在客服领域的基础研究与应用，包括但不限于RAG、Workflow、Agent、规划办理、风险监听、拟人化提升等方向；
3、基础LLM技术研究与落地，包括但不限于数据飞轮、训练方案、体系评估、RM/RL等；
4、参与多模态交互方案设计，融合文本/语音/视频的跨模态理解，支持辅助代办/VoIP等多场景需求；
5、深入跟进LLM/MLLM前沿技术方向，探索模型在未来的更多使用场景，拓展模型应用范围。

任职要求：
1、具有扎实的机器学习基础，对传统NLP技术、LLM技术有深入的理解，数理功底扎实，自学能力强；
2、有扎实的编码能力，熟练使用相关机器学习框架和工程框架；
3、在大模型领域有经验，在音频多模态领域有经验者优先；
4、在计算机科学高水平会议和期刊发表过论文或有竞赛经验者优先。",NLP算法工程师,机器学习; NLP; LLM; Agent; RAG
商品库存后端开发工程师,"岗位职责：
1. 负责商品库存管理系统的后端开发工作，确保系统的稳定性和高效性，满足业务快速发展的需求；
2. 参与系统架构设计，优化现有系统架构，提升系统性能，确保系统能够支撑大规模的业务增长；
3. 根据业务需求，设计并实现高质量的代码，参与代码评审，确保代码质量和开发规范；
4. 解决系统运行中的技术难题，优化系统性能，提升用户体验；
5. 与产品、测试等团队紧密合作，确保项目按时高质量交付，推动业务目标的实现。

任职要求：
1. 教育背景
学历要求：本科及以上学历，计算机科学、软件工程等相关专业优先；
2. 工作经验
工作经验：3-10年软件开发相关工作经验，具备较强的编程能力和项目经验；
3. 能力要求：
技术能力：熟练掌握Java编程语言，熟悉常用的数据结构与算法；具备良好的代码编写习惯，能够编写高质量、可维护的代码；熟悉微服务架构，了解Spring、Docker等技术；有大型分布式系统开发经验者优先；
业务理解：具备良好的业务理解能力，能够快速理解业务需求并转化为技术方案；有电商、物流等相关行业经验者优先；
4. 基本素质
团队协作：具备良好的沟通能力和团队合作精神，能够与团队成员高效协作，共同推进项目进展；
问题解决：具备独立分析和解决问题的能力，面对复杂问题时能够冷静思考，提出有效的解决方案；
责任心：具有强烈的责任心和使命感，对工作认真负责，能够承受一定的工作压力；
创新思维：具备创新意识，善于学习新技术，关注行业动态，能够不断提升自身的专业能力和技术水平。
符合京东价值观：客户为先、创新、拼搏、担当、感恩、诚信。",后端开发工程师,Java; 微服务架构; Spring; Docker; 分布式系统; 后端开发; 系统架构设计; 性能优化; 代码评审
