skill,kg_display_skill,skill_type,industry_origin_month,origin_jobs,early_jobs,mid_jobs,late_jobs,notes
VLM,大模型,new,2025-01,多模态算法工程师;计算机视觉算法工程师;大模型算法工程师,AIGC算法工程师;大模型应用工程师,AI Agent算法工程师;AI Agent应用工程师;AI产品经理,前端开发工程师;解决方案工程师,VLM先在多模态/视觉/大模型算法岗位出现
多模态,大模型,new,2024-12,多模态算法工程师;计算机视觉算法工程师;AIGC算法工程师,大模型算法工程师;NLP算法工程师,大模型应用工程师;AI产品经理;音视频工程师,AI Agent应用工程师;前端开发工程师,多模态是算法岗位核心能力 后续扩散到应用和产品
Multimodal AI,大模型,new,2025-01,多模态算法工程师;大模型算法工程师,计算机视觉算法工程师;AIGC算法工程师,大模型应用工程师;AI Agent应用工程师;AI产品经理,解决方案工程师;前端开发工程师,Multimodal AI英文别名
大模型训练,大模型,new,2024-12,大模型算法工程师;AI Infra工程师,NLP算法工程师;多模态算法工程师,AI Agent算法工程师;系统软件工程师,云计算工程师;DevOps工程师,大模型训练先在算法和AI基础设施岗位出现
SFT,大模型,new,2024-12,大模型算法工程师;NLP算法工程师,AI Agent算法工程师;多模态算法工程师,大模型应用工程师;大模型测试工程师,AI产品经理;解决方案工程师,SFT是模型训练/对齐链路能力
RLHF,大模型,new,2024-12,大模型算法工程师;NLP算法工程师,AI Agent算法工程师;AI安全工程师,大模型测试工程师;AI产品经理,解决方案工程师,RLHF偏训练对齐和安全评测
DPO,大模型,new,2025-01,大模型算法工程师;NLP算法工程师,AI Agent算法工程师;AI安全工程师,大模型测试工程师;AI产品经理,解决方案工程师,DPO偏模型对齐
PPO,大模型,new,2024-12,大模型算法工程师;AI Agent算法工程师,算法研究员;NLP算法工程师,AI安全工程师;大模型测试工程师,AI产品经理,PPO偏强化学习和模型对齐
GRPO,大模型,new,2025-04,大模型算法工程师;AI Agent算法工程师,算法研究员;NLP算法工程师,AI安全工程师;大模型测试工程师,AI产品经理,GRPO作为较新的强化学习训练方法应后期出现
LoRA微调,大模型,new,2024-12,大模型算法工程师;大模型应用工程师,NLP算法工程师;AI Agent算法工程师,后端开发工程师;AI产品经理;解决方案工程师,测试开发工程师,LoRA微调从算法和应用岗位扩散
模型微调,大模型,new,2024-12,大模型算法工程师;大模型应用工程师,NLP算法工程师;AI Agent算法工程师,后端开发工程师;AI产品经理;解决方案工程师,测试开发工程师,模型微调通用能力
模型调优,大模型,new,2024-12,大模型算法工程师;大模型应用工程师,NLP算法工程师,AI Agent算法工程师;AI安全工程师,大模型测试工程师;解决方案工程师;AI产品经理,模型调优通用能力
模型评测,大模型,new,2024-12,大模型测试工程师;大模型算法工程师;AI安全工程师,AI Agent算法工程师;大模型应用工程师,测试开发工程师;质量工程师;AI产品经理,解决方案工程师,大模型评测从测试/算法/安全场景出现
大模型评测,大模型,new,2024-12,大模型测试工程师;大模型算法工程师;AI安全工程师,AI Agent算法工程师;大模型应用工程师,测试开发工程师;质量工程师;AI产品经理,解决方案工程师,大模型评测规范名
模型安全,大模型,new,2024-12,AI安全工程师;大模型算法工程师,大模型测试工程师;网络安全工程师;信息安全工程师,AI Agent算法工程师;AI产品经理,解决方案工程师,模型安全先在AI安全和大模型算法岗位出现
大模型安全,大模型,new,2024-12,AI安全工程师;大模型算法工程师,大模型测试工程师;网络安全工程师;信息安全工程师,AI Agent算法工程师;AI产品经理,解决方案工程师,大模型安全规范名
AI测试,AI,new,2025-01,大模型测试工程师;测试开发工程师,AI安全工程师;大模型应用工程师,质量工程师;测试工程师;AI产品经理,后端开发工程师;解决方案工程师,AI测试先在测试开发和大模型测试岗位出现
大模型调优,大模型,new,2024-12,大模型算法工程师;大模型应用工程师,NLP算法工程师;AI Agent算法工程师,大模型测试工程师;解决方案工程师;AI产品经理,后端开发工程师,大模型调优规范名
模型部署,大模型,new,2024-12,AI Infra工程师;大模型应用工程师;后端开发工程师,大模型算法工程师;DevOps工程师;云计算工程师,软件架构师;解决方案工程师,测试开发工程师,模型部署从AI基础设施和工程应用岗位出现
模型服务化,大模型,new,2024-12,AI Infra工程师;后端开发工程师;大模型应用工程师,DevOps工程师;云计算工程师;软件架构师,解决方案工程师;测试开发工程师,AI产品经理,模型服务化从工程部署链路出现
推理优化,大模型,new,2024-12,AI Infra工程师;大模型算法工程师;系统软件工程师,后端开发工程师;云计算工程师,DevOps工程师;软件架构师;AI Agent算法工程师,解决方案工程师,推理优化是基础设施/系统和算法结合能力
模型推理,大模型,new,2024-12,AI Infra工程师;大模型算法工程师;系统软件工程师,后端开发工程师;云计算工程师,DevOps工程师;软件架构师;AI Agent算法工程师,解决方案工程师,模型推理工程化能力
SGLang,大模型,new,2025-03,AI Infra工程师;大模型算法工程师,系统软件工程师;后端开发工程师,云计算工程师;DevOps工程师;软件架构师,解决方案工程师,SGLang是大模型推理服务框架 不能从解决方案/硬件起源
DeepSpeed,大模型,new,2024-12,AI Infra工程师;大模型算法工程师,系统软件工程师;多模态算法工程师,NLP算法工程师;云计算工程师;DevOps工程师,后端开发工程师;解决方案工程师,DeepSpeed先在训练/基础设施岗位出现
Megatron,大模型,new,2024-12,AI Infra工程师;大模型算法工程师,系统软件工程师;NLP算法工程师;多模态算法工程师,云计算工程师;DevOps工程师,后端开发工程师;解决方案工程师,Megatron先在大模型训练和基础设施岗位出现
Triton,大模型,new,2024-12,AI Infra工程师;系统软件工程师;大模型算法工程师,芯片设计工程师;FPGA工程师,后端开发工程师;云计算工程师;DevOps工程师,解决方案工程师,Triton可在AI基础设施/系统/芯片优化岗位出现
CUDA,硬件与芯片,new,2024-12,AI Infra工程师;系统软件工程师;芯片设计工程师,大模型算法工程师;FPGA工程师;芯片验证工程师,云计算工程师;DevOps工程师;后端开发工程师,解决方案工程师,CUDA是成熟底层计算能力 这里用于AI训练推理链路
TensorRT,大模型,new,2024-12,AI Infra工程师;系统软件工程师,大模型算法工程师;芯片设计工程师;FPGA工程师,云计算工程师;DevOps工程师;后端开发工程师,解决方案工程师,TensorRT偏推理部署优化
模型并行,大模型,new,2024-12,AI Infra工程师;大模型算法工程师;系统软件工程师,NLP算法工程师;多模态算法工程师,云计算工程师;DevOps工程师,后端开发工程师;解决方案工程师,模型并行先在大模型训练和基础设施岗位出现
分布式训练,大模型,new,2024-12,AI Infra工程师;大模型算法工程师,NLP算法工程师;多模态算法工程师;系统软件工程师,云计算工程师;DevOps工程师,后端开发工程师;解决方案工程师,分布式训练是训练基础设施能力
模型工程,大模型,new,2024-12,大模型算法工程师;AI Infra工程师;大模型应用工程师,NLP算法工程师;多模态算法工程师,后端开发工程师;DevOps工程师;软件架构师,解决方案工程师;测试开发工程师,模型工程连接算法和工程落地
AI基础设施,AI,new,2024-12,AI Infra工程师;系统软件工程师,云计算工程师;DevOps工程师;大模型算法工程师,后端开发工程师;软件架构师,解决方案工程师,AI基础设施先在Infra/系统岗位出现
GPU内存优化,硬件与芯片,new,2024-12,AI Infra工程师;系统软件工程师,大模型算法工程师;芯片设计工程师,云计算工程师;DevOps工程师;后端开发工程师,解决方案工程师,GPU内存优化偏训练推理基础设施
AI安全,安全,new,2024-12,AI安全工程师;大模型测试工程师,大模型算法工程师;网络安全工程师;信息安全工程师,AI Agent算法工程师;AI产品经理,解决方案工程师,AI安全先在专门安全和大模型测试/算法岗位出现
知识图谱,知识图谱,new,2024-12,NLP算法工程师;搜索算法工程师;大模型应用工程师,AI Agent算法工程师;AI Agent应用工程师,后端开发工程师;数据开发工程师;解决方案工程师,AI产品经理,知识图谱先在NLP/搜索/大模型应用场景出现
