standard_job,standard_category,source_jd_count,unique_skill_count,has_source_data,demand_trend_type,activity_pattern,total_planned_jd_count,active_month_count,zero_month_count,first_active_month,last_active_month,peak_month,min_monthly_jd,max_monthly_jd,has_reappearance,profile_notes
机器学习算法工程师,AI算法,95,85,yes,间歇出现,趋势包含阶段性不出现,18,10,10,2024-12,2026-04,2025-05,1,3,yes,存在传统/新兴重复归类技能
数据挖掘算法工程师,算法,46,40,yes,间歇出现,趋势包含阶段性不出现,13,6,14,2024-12,2026-04,2025-08,2,3,yes,存在传统/新兴重复归类技能
算法研究员,AI算法,73,71,yes,先上升后稳定,常规月度波动,39,20,0,2024-12,2026-07,2026-02,1,3,no,存在传统/新兴重复归类技能
算法工程师,AI算法,578,145,yes,先上升后稳定,常规月度波动,59,20,0,2024-12,2026-07,2025-10,1,4,no,存在传统/新兴重复归类技能
后端开发工程师,软件研发,1191,174,yes,持续上升,常规月度波动,38,18,2,2024-12,2026-07,2026-06,1,4,yes,存在传统/新兴重复归类技能
前端开发工程师,软件研发,532,95,yes,持续上升,常规月度波动,56,20,0,2024-12,2026-07,2026-06,1,5,no,
全栈开发工程师,软件研发,73,89,yes,间歇出现,趋势包含阶段性不出现,28,13,7,2024-12,2026-07,2025-01,1,3,yes,存在传统/新兴重复归类技能
Java开发工程师,软件研发,263,89,yes,先上升后下降,常规月度波动,34,20,0,2024-12,2026-07,2025-08,1,3,no,
C++开发工程师,软件研发,111,93,yes,先上升后下降,常规月度波动,38,20,0,2024-12,2026-07,2025-06,1,3,no,存在传统/新兴重复归类技能
Python开发工程师,软件研发,33,50,yes,持续下降,常规月度波动,30,20,0,2024-12,2026-07,2024-12,1,2,no,
Go开发工程师,软件研发,14,40,yes,稳定波动,常规月度波动,18,16,4,2024-12,2026-07,2025-05,1,2,yes,
客户端开发工程师,软件研发,350,87,yes,稳定波动,常规月度波动,56,19,1,2024-12,2026-07,2025-02,2,4,yes,存在传统/新兴重复归类技能
Android开发工程师,软件研发,219,75,yes,间歇出现,趋势包含阶段性不出现,21,11,9,2024-12,2026-06,2024-12,1,2,yes,存在传统/新兴重复归类技能
iOS开发工程师,软件研发,122,50,yes,持续下降,常规月度波动,43,20,0,2024-12,2026-07,2024-12,1,4,no,存在传统/新兴重复归类技能
系统软件工程师,软件研发,177,126,yes,消失后再出现,趋势包含阶段性不出现,38,14,6,2024-12,2026-07,2026-05,2,4,yes,存在传统/新兴重复归类技能
嵌入式软件工程师,软件研发,33,44,yes,持续下降,常规月度波动,32,19,1,2024-12,2026-07,2024-12,1,3,yes,
驱动开发工程师,软件研发,78,52,yes,持续上升,常规月度波动,43,20,0,2024-12,2026-07,2026-06,1,4,no,
软件架构师,软件研发,363,168,yes,稳定波动,常规月度波动,47,20,0,2024-12,2026-07,2025-01,2,3,no,存在传统/新兴重复归类技能
软件开发工程师,软件研发,1572,201,yes,先上升后下降,常规月度波动,44,18,2,2024-12,2026-07,2025-08,1,4,yes,存在传统/新兴重复归类技能
大数据开发工程师,数据,0,0,no,无样本不生成,无真实JD和技能池，按方案1保留标准岗位但不生成事件,0,0,20,,,,0,0,no,无可用真实JD样本；无技能池
数据开发工程师,数据,45,60,yes,稳定波动,常规月度波动,33,19,1,2024-12,2026-07,2024-12,1,2,yes,
数据仓库工程师,数据,18,24,yes,稳定波动,常规月度波动,20,15,5,2024-12,2026-07,2025-06,1,2,yes,
数据平台工程师,数据,10,31,yes,稳定波动,常规月度波动,21,17,3,2025-01,2026-07,2025-01,1,2,yes,
数据治理工程师,数据,4,4,yes,稳定波动,小样本岗位，允许较多月份不出现,17,17,3,2025-01,2026-07,2025-01,1,1,yes,真实JD样本较少；技能池较小
数据分析师,数据,125,54,yes,持续上升,常规月度波动,34,17,3,2024-12,2026-07,2026-02,1,3,yes,存在传统/新兴重复归类技能
数据工程师,数据,9,27,yes,先上升后稳定,小样本岗位，允许较多月份不出现,17,11,9,2025-01,2026-07,2025-08,1,2,yes,真实JD样本较少
大模型测试工程师,测试质量,129,98,yes,持续上升,常规月度波动,44,19,1,2024-12,2026-07,2026-06,1,4,yes,存在传统/新兴重复归类技能
测试开发工程师,测试质量,443,142,yes,稳定波动,常规月度波动,59,20,0,2024-12,2026-07,2025-01,2,4,no,存在传统/新兴重复归类技能
质量工程师,测试质量,49,31,yes,间歇出现,趋势包含阶段性不出现,13,8,12,2024-12,2026-06,2025-01,1,2,yes,
测试工程师,测试质量,107,76,yes,间歇出现,趋势包含阶段性不出现,17,9,11,2025-01,2026-06,2025-02,1,2,yes,
DevOps工程师,基础设施,14,53,yes,消失后再出现,趋势包含阶段性不出现,19,14,6,2024-12,2026-07,2025-01,1,2,yes,
运维工程师,基础设施,183,85,yes,稳定波动,常规月度波动,40,19,1,2024-12,2026-07,2025-02,1,3,yes,
云计算工程师,基础设施,83,97,yes,消失后再出现,趋势包含阶段性不出现,22,14,6,2024-12,2026-07,2025-02,1,2,yes,存在传统/新兴重复归类技能
网络安全工程师,安全,50,40,yes,先上升后下降,常规月度波动,28,18,2,2024-12,2026-07,2025-01,1,2,yes,
信息安全工程师,安全,47,35,yes,先上升后下降,常规月度波动,32,19,1,2024-12,2026-07,2025-12,1,3,yes,
安全工程师,安全,68,61,yes,稳定波动,常规月度波动,35,20,0,2024-12,2026-07,2025-02,1,3,no,存在传统/新兴重复归类技能
网络工程师,基础设施,28,37,yes,间歇出现,趋势包含阶段性不出现,14,8,12,2025-01,2026-05,2025-01,1,2,yes,
数据库工程师,基础设施,14,34,yes,间歇出现,趋势包含阶段性不出现,10,7,13,2024-12,2026-05,2025-01,1,2,yes,
服务器工程师,基础设施,34,33,yes,先上升后稳定,常规月度波动,41,19,1,2024-12,2026-07,2025-08,1,3,yes,
技术支持工程师,技术支持,157,103,yes,持续下降,常规月度波动,36,17,3,2024-12,2026-07,2024-12,1,4,yes,存在传统/新兴重复归类技能
解决方案工程师,技术支持,154,120,yes,持续下降,常规月度波动,45,19,1,2024-12,2026-07,2024-12,1,4,yes,存在传统/新兴重复归类技能
机器人算法工程师,机器人,3,9,yes,先上升后稳定,小样本岗位，允许较多月份不出现,17,11,9,2025-02,2026-06,2025-08,1,2,yes,真实JD样本较少
机器人软件工程师,机器人,6,9,yes,先上升后下降,小样本岗位，允许较多月份不出现,14,14,6,2024-12,2026-07,2024-12,1,1,yes,真实JD样本较少
自动驾驶算法工程师,自动驾驶,27,38,yes,持续上升,常规月度波动,34,19,1,2024-12,2026-07,2026-06,1,3,yes,存在传统/新兴重复归类技能
控制算法工程师,算法,11,12,yes,持续上升,常规月度波动,23,18,2,2024-12,2026-07,2025-06,1,2,yes,
图形图像工程师,多媒体,28,20,yes,先上升后稳定,常规月度波动,25,19,1,2024-12,2026-07,2025-03,1,2,yes,
音视频工程师,多媒体,28,37,yes,间歇出现,趋势包含阶段性不出现,16,10,10,2024-12,2026-05,2025-01,1,2,yes,
通信工程师,通信,167,102,yes,间歇出现,趋势包含阶段性不出现,18,8,12,2024-12,2026-06,2024-12,2,3,yes,存在传统/新兴重复归类技能
芯片设计工程师,芯片,338,128,yes,先上升后下降,常规月度波动,49,20,0,2024-12,2026-07,2025-12,1,4,no,存在传统/新兴重复归类技能
芯片验证工程师,芯片,72,29,yes,持续上升,常规月度波动,38,20,0,2024-12,2026-07,2026-07,1,4,no,
芯片测试工程师,芯片,6,10,yes,持续下降,小样本岗位，允许较多月份不出现,11,11,9,2025-01,2026-07,2025-01,1,1,yes,真实JD样本较少
FPGA工程师,芯片,0,3,no,无样本不生成,无真实JD和技能池，按方案1保留标准岗位但不生成事件,0,0,20,,,,0,0,no,无可用真实JD样本；技能池较小
电源工程师,硬件,67,17,yes,消失后再出现,趋势包含阶段性不出现,33,15,5,2024-12,2026-07,2025-02,2,3,yes,
结构工程师,硬件,60,8,yes,消失后再出现,趋势包含阶段性不出现,22,17,3,2024-12,2026-07,2025-06,1,2,yes,
热设计工程师,硬件,12,4,yes,稳定波动,常规月度波动,26,18,2,2024-12,2026-07,2025-04,1,2,yes,技能池较小
硬件工程师,硬件,222,60,yes,消失后再出现,趋势包含阶段性不出现,36,13,7,2024-12,2026-06,2025-02,2,4,yes,
AI产品经理,产品,95,72,yes,持续下降,常规月度波动,32,20,0,2024-12,2026-07,2024-12,1,3,no,存在传统/新兴重复归类技能
