normalized_skill,kg_display_skill,skill_type,standard_categories,standard_jobs,first_seen_month,last_seen_month,first_seen_job_id,last_seen_job_id,mention_count,source_job_ids,source_count,sources,updated_at
ASR,大模型,new,软件研发,Android开发工程师; iOS开发工程师; 客户端开发工程师,2025-03,2026-07,GEN001086,GEN001130,13,GEN001086; GEN001048; GEN001053; GEN001106; GEN001110; GEN001062; GEN001066; GEN001070; GEN001123; GEN001072; GEN001074; GEN001129; GEN001130,13,base_event_stream,2026-07-24T06:07:21+00:00
AUTOSAR,行业应用,traditional,测试质量; AI算法; 硬件,测试工程师; 测试开发工程师; 语音算法工程师; 硬件工程师,2024-12,2026-04,GEN001621,GEN001583,12,GEN001621; GEN001622; GEN001552; GEN001624; GEN001558; GEN001562; GEN001563; GEN001627; GEN001628; GEN001566; GEN001573; GEN001583,12,base_event_stream,2026-07-24T06:07:21+00:00
Agent,大模型,new,测试质量; 算法; AI应用; 基础设施; 软件研发; 安全; 多媒体; AI算法; 芯片; 产品; 通信; 数据; AI基础设施,大模型测试工程师; 广告算法工程师; 大模型应用工程师; 数据库工程师; 风控算法工程师; 后端开发工程师; Android开发工程师; 质量工程师; 安全工程师; 信息安全工程师; 图形图像工程师; AI Agent应用工程师; 机器学习算法工程师; C++开发工程师; AI应用工程师; 软件开发工程师; DevOps工程师; 运维工程师; 芯片验证工程师; 系统软件工程师; AI产品经理; 通信工程师; 算法工程师; iOS开发工程师; 芯片测试工程师; 算法研究员; 客户端开发工程师; 数据开发工程师; 网络安全工程师; NLP算法工程师; 大数据开发工程师; 芯片设计工程师; 多模态算法工程师; 大模型算法工程师; 数据工程师; 测试工程师; 数据平台工程师; 数据仓库工程师; AI Infra工程师; 数据挖掘算法工程师; Java开发工程师; 语音算法工程师,2024-12,2026-07,GEN000300,GEN002335,214,GEN000300; GEN000516; GEN000654; GEN001826; GEN000556; GEN000742; GEN000743; GEN001081; GEN001594; GEN001735; GEN001736; GEN001766; GEN002015; GEN002016; GEN002100; GEN000560; GEN000979; GEN001084; GEN001311; GEN001313; GEN001634; GEN001661; GEN001662; GEN001829; GEN002018; GEN002152; GEN001183; GEN001316; GEN002019; GEN002307; GEN002308; GEN000749; GEN000750; GEN001319; GEN001664; GEN001666; GEN002021; GEN002022; GEN002063; GEN002156; GEN000567; GEN000752; GEN001139; GEN001186; GEN001636; GEN000665; GEN000754; GEN000755; GEN000982; GEN001093; GEN001670; GEN001741; GEN002158; GEN002312; GEN000312; GEN000313; GEN000667; GEN000757; GEN001096; GEN001327; GEN001639; GEN002026; GEN002067; GEN002159; GEN000314; GEN000315; GEN000669; GEN000762; GEN001099; GEN001145; GEN001146; GEN001194; GEN001329; GEN001330; GEN001640; GEN001641; GEN002117; GEN002118; GEN002160; GEN002316; GEN000273; GEN000319; GEN000531; GEN001104; GEN001148; GEN001746; GEN001770; GEN002072; GEN002073; GEN002122; GEN002162; GEN002317; GEN000320; GEN000321; GEN000322; GEN000534; GEN000673; GEN000769; GEN000771; GEN001107; GEN001151; GEN001608; GEN001644; GEN002123; GEN002124; GEN002320; GEN000324; GEN000774; GEN000775; GEN000777; GEN001750; GEN002030; GEN002076; GEN002077; GEN002078; GEN002125; GEN002126; GEN000325; GEN000674; GEN000778; GEN000780; GEN000984; GEN001154; GEN001840; GEN002079; GEN002128; GEN002323; GEN002324; GEN000675; GEN000783; GEN000786; GEN000787; GEN001114; GEN001157; GEN001676; GEN002082; GEN000329; GEN000582; GEN000676; GEN000790; GEN000791; GEN001116; GEN001648; GEN001755; GEN002131; GEN002164; GEN002328; GEN000332; GEN000333; GEN000793; GEN001118; GEN001119; GEN001160; GEN001161; GEN001352; GEN001649; GEN002135; GEN002330; GEN000334; GEN000335; GEN000336; GEN000586; GEN000680; GEN000798; GEN001121; GEN001759; GEN002035; GEN002137; GEN002138; GEN000338; GEN000805; GEN001124; GEN001165; GEN001208; GEN001617; GEN001683; GEN001684; GEN001844; GEN002037; GEN002091; GEN002141; GEN002142; GEN000339; GEN000340; GEN000551; GEN000652; GEN000653; GEN000806; GEN000807; GEN000809; GEN001169; GEN001763; GEN001845; GEN002038; GEN002093; GEN002143; GEN002144; GEN002145; GEN000297; GEN000341; GEN000552; GEN000589; GEN000814; GEN001131; GEN001172; GEN001211; GEN001654; GEN001690; GEN001764; GEN002095; GEN002096; GEN002146; GEN002172; GEN002335,214,base_event_stream,2026-07-24T06:07:21+00:00
Ai coding,AI,new,软件研发; 基础设施; 产品; AI应用; 数据; 芯片; 机器人; AI安全; 测试质量; AI算法; 安全; 技术支持; 算法,Android开发工程师; 服务器工程师; iOS开发工程师; 软件开发工程师; AI产品经理; 前端开发工程师; AI应用工程师; C++开发工程师; 数据平台工程师; DevOps工程师; 芯片验证工程师; Java开发工程师; 机器人算法工程师; 运维工程师; AI安全工程师; 测试开发工程师; 大模型算法工程师; 信息安全工程师; 网络安全工程师; 嵌入式软件工程师; 质量工程师; 数据仓库工程师; 技术支持工程师; 风控算法工程师,2024-12,2026-07,GEN001077,GEN001954,79,GEN001077; GEN001132; GEN001134; GEN001309; GEN002304; GEN000817; GEN000978; GEN000979; GEN001411; GEN001634; GEN002153; GEN000930; GEN001944; GEN001319; GEN002156; GEN000934; GEN000980; GEN001139; GEN001413; GEN001946; GEN000936; GEN001141; GEN001637; GEN000173; GEN000827; GEN001097; GEN001326; GEN001328; GEN001638; GEN001639; GEN002159; GEN002313; GEN002314; GEN001640; GEN000174; GEN000833; GEN000945; GEN000946; GEN001642; GEN002161; GEN002162; GEN000948; GEN000949; GEN000950; GEN001150; GEN001151; GEN001336; GEN001644; GEN001949; GEN000951; GEN000952; GEN001340; GEN001645; GEN000846; GEN001342; GEN000847; GEN000849; GEN000853; GEN000958; GEN002328; GEN000855; GEN000857; GEN001423; GEN002165; GEN000860; GEN000966; GEN001356; GEN002167; GEN001425; GEN000866; GEN000867; GEN000971; GEN002170; GEN000868; GEN000869; GEN000871; GEN000972; GEN001428; GEN001954,79,base_event_stream,2026-07-24T06:07:21+00:00
Android,软件开发,traditional,AI应用; 软件研发; 基础设施; 芯片; AI算法; 多媒体; 测试质量; 机器人; 数据,AI应用工程师; 客户端开发工程师; Android开发工程师; 服务器工程师; 驱动开发工程师; 芯片设计工程师; 计算机视觉算法工程师; 机器学习算法工程师; AI Agent应用工程师; 图形图像工程师; 软件开发工程师; 全栈开发工程师; iOS开发工程师; 嵌入式软件工程师; 语音算法工程师; 测试开发工程师; 机器人软件工程师; 数据开发工程师; 音视频工程师; 算法工程师,2024-12,2026-07,GEN000116,GEN002039,110,GEN000116; GEN001041; GEN001079; GEN001132; GEN001230; GEN002097; GEN000345; GEN000386; GEN001233; GEN002099; GEN002102; GEN000119; GEN000347; GEN001083; GEN002018; GEN001086; GEN001235; GEN001315; GEN000353; GEN000880; GEN001090; GEN002022; GEN000123; GEN001091; GEN001140; GEN001216; GEN001240; GEN001093; GEN000357; GEN000394; GEN000888; GEN000889; GEN001095; GEN001096; GEN001097; GEN001244; GEN001326; GEN002114; GEN000890; GEN000891; GEN000892; GEN001049; GEN001146; GEN001246; GEN001247; GEN001248; GEN000401; GEN001050; GEN001103; GEN001148; GEN001249; GEN001334; GEN000364; GEN001053; GEN001056; GEN001106; GEN001150; GEN001337; GEN001057; GEN001058; GEN001059; GEN001254; GEN001341; GEN002030; GEN002125; GEN000136; GEN000367; GEN000410; GEN000903; GEN000904; GEN001112; GEN001156; GEN001225; GEN002127; GEN000370; GEN000907; GEN001114; GEN001158; GEN001159; GEN002048; GEN001069; GEN001115; GEN001116; GEN001257; GEN002033; GEN000144; GEN000373; GEN000912; GEN000913; GEN001349; GEN002136; GEN000147; GEN000375; GEN001120; GEN001164; GEN001073; GEN000154; GEN000155; GEN000381; GEN001167; GEN001169; GEN001228; GEN001266; GEN000920; GEN001170; GEN001171; GEN001172; GEN001268; GEN001364; GEN002039,110,base_event_stream,2026-07-24T06:07:21+00:00
Android Framework,软件开发,traditional,硬件; 软件研发; 芯片; 机器人,结构工程师; Android开发工程师; 系统软件工程师; Java开发工程师; 驱动开发工程师; 客户端开发工程师; 芯片验证工程师; 机器人算法工程师; 芯片设计工程师,2024-12,2026-07,GEN000922,GEN001131,35,GEN000922; GEN001079; GEN001174; GEN001175; GEN000925; GEN001235; GEN001185; GEN000981; GEN001187; GEN001240; GEN000936; GEN001094; GEN000939; GEN001095; GEN001192; GEN001193; GEN001247; GEN001248; GEN001195; GEN001250; GEN001196; GEN001199; GEN000953; GEN001111; GEN001112; GEN000955; GEN001256; GEN000958; GEN001204; GEN001260; GEN001263; GEN001265; GEN001266; GEN001130; GEN001131,35,base_event_stream,2026-07-24T06:07:21+00:00
Angular,编程语言,traditional,软件研发; AI应用,前端开发工程师; AI Agent应用工程师; AI应用工程师,2025-01,2026-05,GEN000815,GEN000862,15,GEN000815; GEN000817; GEN000818; GEN000819; GEN000823; GEN000827; GEN000834; GEN000840; GEN000136; GEN000139; GEN000855; GEN000148; GEN000859; GEN000861; GEN000862,15,base_event_stream,2026-07-24T06:07:21+00:00
Ascend,硬件与芯片,new,AI基础设施; 算法; AI算法; 基础设施,AI Infra工程师; 搜索算法工程师; 机器学习算法工程师; 网络工程师,2025-01,2026-07,GEN000185,GEN000638,10,GEN000185; GEN000195; GEN000198; GEN000199; GEN000610; GEN000209; GEN000628; GEN000212; GEN000632; GEN000638,10,base_event_stream,2026-07-24T06:07:21+00:00
Attention机制,大模型,new,AI算法,算法工程师; 计算机视觉算法工程师,2025-11,2026-07,GEN000703,GEN000737,8,GEN000703; GEN000707; GEN000708; GEN000713; GEN000731; GEN000732; GEN000733; GEN000737,8,base_event_stream,2026-07-24T06:07:21+00:00
AutoGen,大模型,new,技术支持; AI算法,技术支持工程师; 算法工程师; 计算机视觉算法工程师,2024-12,2026-05,GEN001867,GEN001884,6,GEN001867; GEN001878; GEN000707; GEN000708; GEN001883; GEN001884,6,base_event_stream,2026-07-24T06:07:21+00:00
C/C++,编程语言,traditional,测试质量; AI基础设施; AI算法; 算法; 软件研发; 数据; 自动驾驶; 多媒体; 通信; 芯片; 硬件; 基础设施; AI应用; 安全; 机器人; AI安全; 技术支持; 产品,大模型测试工程师; AI Infra工程师; AIGC算法工程师; 计算机视觉算法工程师; 广告算法工程师; 推荐算法工程师; 搜索算法工程师; 风控算法工程师; 机器学习算法工程师; AI Agent算法工程师; C++开发工程师; 客户端开发工程师; Android开发工程师; 软件架构师; 数据仓库工程师; 自动驾驶算法工程师; 图形图像工程师; 通信工程师; 芯片设计工程师; 电源工程师; 网络工程师; NLP算法工程师; 语音算法工程师; 大模型算法工程师; 数据挖掘算法工程师; 算法研究员; Java开发工程师; 嵌入式软件工程师; iOS开发工程师; 数据分析师; AI应用工程师; 安全工程师; 机器人算法工程师; 硬件工程师; AI Agent应用工程师; 网络安全工程师; 测试工程师; 芯片验证工程师; 大模型应用工程师; 音视频工程师; Python开发工程师; 云计算工程师; 数据库工程师; AI安全工程师; 后端开发工程师; 数据平台工程师; 机器人软件工程师; 芯片测试工程师; 多模态算法工程师; Go开发工程师; 控制算法工程师; DevOps工程师; 运维工程师; 解决方案工程师; 前端开发工程师; 质量工程师; AI产品经理; 算法工程师,2024-12,2026-07,GEN000161,GEN002172,423,GEN000161; GEN000183; GEN000184; GEN000216; GEN000342; GEN000343; GEN000433; GEN000479; GEN000480; GEN000517; GEN000553; GEN000554; GEN000590; GEN000655; GEN000974; GEN001041; GEN001077; GEN001078; GEN001269; GEN001390; GEN001502; GEN001973; GEN002013; GEN002014; GEN002040; GEN002057; GEN002098; GEN002189; GEN002190; GEN000185; GEN000186; GEN000217; GEN000218; GEN000302; GEN000303; GEN000344; GEN000385; GEN000386; GEN000434; GEN000482; GEN000593; GEN000594; GEN000640; GEN000656; GEN000657; GEN000924; GEN000926; GEN000977; GEN001081; GEN001082; GEN001134; GEN001135; GEN001215; GEN001271; GEN001444; GEN001482; GEN001633; GEN001735; GEN001775; GEN001943; GEN001975; GEN002015; GEN002058; GEN002263; GEN002264; GEN002265; GEN000004; GEN000060; GEN000349; GEN000435; GEN000484; GEN000560; GEN000561; GEN000596; GEN000641; GEN000642; GEN000658; GEN000978; GEN000979; GEN001136; GEN001392; GEN001737; GEN001828; GEN002018; GEN002060; GEN002153; GEN002266; GEN000066; GEN000189; GEN000387; GEN000437; GEN000485; GEN000598; GEN000599; GEN001976; GEN001977; GEN002020; GEN002045; GEN002269; GEN000191; GEN000309; GEN000487; GEN000565; GEN000663; GEN000931; GEN000992; GEN001089; GEN001090; GEN001277; GEN001508; GEN001703; GEN001830; GEN001945; GEN001979; GEN002021; GEN002063; GEN002156; GEN000071; GEN000170; GEN000194; GEN000390; GEN000391; GEN000440; GEN000489; GEN000751; GEN000753; GEN000933; GEN001092; GEN001217; GEN001740; GEN001777; GEN001831; GEN001946; GEN001959; GEN001980; GEN002023; GEN002110; GEN002157; GEN002173; GEN002174; GEN002273; GEN002274; GEN000074; GEN000172; GEN000266; GEN000393; GEN000569; GEN000982; GEN000995; GEN001016; GEN001141; GEN001396; GEN001511; GEN001706; GEN001778; GEN001833; GEN001993; GEN002066; GEN002112; GEN002175; GEN002176; GEN000197; GEN000357; GEN000394; GEN000527; GEN000572; GEN000644; GEN000666; GEN000759; GEN000937; GEN000939; GEN001143; GEN001282; GEN001283; GEN001638; GEN001709; GEN001779; GEN001961; GEN001983; GEN002026; GEN002159; GEN000014; GEN000080; GEN000316; GEN000396; GEN000397; GEN000398; GEN000445; GEN000492; GEN000530; GEN000573; GEN000574; GEN000608; GEN000942; GEN000943; GEN000997; GEN001049; GEN001100; GEN001145; GEN001284; GEN001514; GEN001515; GEN001627; GEN001780; GEN001781; GEN001998; GEN002070; GEN002160; GEN002177; GEN000085; GEN000273; GEN000399; GEN000400; GEN000450; GEN000494; GEN000532; GEN000533; GEN000576; GEN000947; GEN000998; GEN001052; GEN001101; GEN001455; GEN001489; GEN001643; GEN001713; GEN001836; GEN001948; GEN002121; GEN002161; GEN002162; GEN000019; GEN000020; GEN000236; GEN000275; GEN000363; GEN000364; GEN000402; GEN000614; GEN000772; GEN001055; GEN001149; GEN001223; GEN001287; GEN001518; GEN001837; GEN002029; GEN002074; GEN002179; GEN002180; GEN002283; GEN002284; GEN000278; GEN000280; GEN000323; GEN000406; GEN000455; GEN000458; GEN000459; GEN000579; GEN000776; GEN001289; GEN001751; GEN002078; GEN002126; GEN000463; GEN000497; GEN000618; GEN000619; GEN000780; GEN000953; GEN000984; GEN001062; GEN001155; GEN001224; GEN001225; GEN001290; GEN001291; GEN001460; GEN001524; GEN001718; GEN001719; GEN001788; GEN001789; GEN001839; GEN001840; GEN002002; GEN002080; GEN002128; GEN000093; GEN000369; GEN000412; GEN000499; GEN001157; GEN001526; GEN001790; GEN001952; GEN002003; GEN002082; GEN002129; GEN002163; GEN002183; GEN002288; GEN000095; GEN000096; GEN000286; GEN000287; GEN000330; GEN000415; GEN000468; GEN000543; GEN000651; GEN000788; GEN000960; GEN001466; GEN001756; GEN001792; GEN002004; GEN002034; GEN002083; GEN002131; GEN002164; GEN000035; GEN000099; GEN000100; GEN000176; GEN000244; GEN000245; GEN000246; GEN000289; GEN000419; GEN000793; GEN000963; GEN001161; GEN001295; GEN001403; GEN001533; GEN001649; GEN001724; GEN001757; GEN001794; GEN002005; GEN002050; GEN002086; GEN002134; GEN002165; GEN002292; GEN000037; GEN000247; GEN000292; GEN000336; GEN000420; GEN000472; GEN000630; GEN000966; GEN001003; GEN001033; GEN001120; GEN001122; GEN001123; GEN001163; GEN001164; GEN001498; GEN001534; GEN001536; GEN001727; GEN001728; GEN001759; GEN001985; GEN002139; GEN002166; GEN002167; GEN002186; GEN000044; GEN000211; GEN000212; GEN000295; GEN000337; GEN000378; GEN000425; GEN000474; GEN000508; GEN001762; GEN001844; GEN001970; GEN002092; GEN002140; GEN002141; GEN000339; GEN000511; GEN000588; GEN000652; GEN000681; GEN000970; GEN000971; GEN001005; GEN001168; GEN001228; GEN001229; GEN001303; GEN001653; GEN001763; GEN002009; GEN002143; GEN002169; GEN002187; GEN002206; GEN000049; GEN000382; GEN000430; GEN000973; GEN001008; GEN001170; GEN001545; GEN001546; GEN001731; GEN001988; GEN001989; GEN002012; GEN002039; GEN002146; GEN002171; GEN002172,423,base_event_stream,2026-07-24T06:07:21+00:00
