normalized_keyword,category,keyword_type,doc_count,mention_count,source_type_counts,example_job_ids,example_job_titles,example_evidence
CSIG,岗位标签,title_or_tag,16,16,enterprise:16,job_7327bfadf20d1f534d7a;job_3d35aa746bb0ef5f37b6;job_db71ea4d4a13e4348e47,AI产品架构师 | QClaw-AI增长运营 | 腾讯会议-AI产品经理-AI应用体验方向,CSIG | CSIG | CSIG
技术,岗位标签,title_or_tag,16,16,enterprise:16,job_a1b9f0d64a7479d97c49;job_d1ad7c335b233d0cc89a;job_6a37ba5df765ce9e31da,AI渲染研究员 | AI infra规划架构师 | AI Infra研发工程师,技术 | 技术 | 技术
运营,产品运营,business,15,15,enterprise:15,job_3d35aa746bb0ef5f37b6;job_db71ea4d4a13e4348e47;job_6e5097a612430522b56d,QClaw-AI增长运营 | 腾讯会议-AI产品经理-AI应用体验方向 | 证券-AI产品经理-金融AI应用体验方向,负责QClaw产品用户增长及运营工作 | 协同算法、研发、运营和设计等多团队，确保产品规划的落地实施与持续优化 | 全流程产品闭环构建：主导AI产品从需求定义、方案设计、开发协同到上线运营的全过程
IEG,岗位标签,title_or_tag,13,13,enterprise:13,job_6394c9a8372e3e23f95f;job_a1b9f0d64a7479d97c49;job_1f9a714ff03a61a3598c,AI产品经理-AI生成游戏 | AI渲染研究员 | AI创意设计师,IEG | IEG | IEG
产品经理,岗位角色,role,13,13,enterprise:13,job_6394c9a8372e3e23f95f;job_c2396654a70c7aa00053;job_db71ea4d4a13e4348e47,AI产品经理-AI生成游戏 | AI产品经理 | 腾讯会议-AI产品经理-AI应用体验方向,AI产品经理-AI生成游戏 | AI产品经理 | 腾讯会议-AI产品经理-AI应用体验方向
两年以上工作经验,岗位标签,title_or_tag,12,12,enterprise:12,job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e;job_db71ea4d4a13e4348e47,AI产品经理 | AI设计工程师 | 腾讯会议-AI产品经理-AI应用体验方向,两年以上工作经验 | 两年以上工作经验 | 两年以上工作经验
交付,项目管理,business,11,11,enterprise:11,job_c2396654a70c7aa00053;job_7327bfadf20d1f534d7a;job_541a628d868ec5738147,AI产品经理 | AI产品架构师 | 腾讯云-腾讯云AI解决方案架构师-AI,设计产品架构和迭代节奏，把握市场机遇，协同各端研发共同确保结果交付 | 承担AI产品制造/消费电子/零售/出行/教育等企业的业绩KPI，与销售/产品/交付等角色配合，推动目标达成 | 助力协同内部产品、技术、营销、市场团队，支撑项目高效落地与高质量交付，保障目标达成
PCG,岗位标签,title_or_tag,9,9,enterprise:9,job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e;job_3953be93a8589d7d6e40,AI产品经理 | AI设计工程师 | PC游戏平台AI Builder,PCG | PCG | PCG
腾讯云,岗位标签,title_or_tag,9,9,enterprise:9,job_7327bfadf20d1f534d7a;job_541a628d868ec5738147;job_6a37ba5df765ce9e31da,AI产品架构师 | 腾讯云-腾讯云AI解决方案架构师-AI | AI Infra研发工程师,腾讯云 | 腾讯云 | 腾讯云
Prompt Engineering,AI与大模型,technology,8,8,enterprise:8,job_6394c9a8372e3e23f95f;job_24f974ab0119fe19fdc7;job_fb64a5945f428641fe50,AI产品经理-AI生成游戏 | AI研效高级工程师 | 音频策划（AI创作方向）,与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范 | 通过提示词工程、知识库、Memory 和 Tools 等技术构建 Agent 能力实现业务提质增效 | 针对不同需求选择并集成AI工具，建立提示词库、预设与模板，形成可复用方法论
一年以上工作经验,岗位标签,title_or_tag,8,8,enterprise:8,job_6394c9a8372e3e23f95f;job_59e8f1db21448650f5b0;job_db9d345c441d8e6344d8,AI产品经理-AI生成游戏 | CSIG HRBP-AI产研方向 | Project W-AI引擎工程师,一年以上工作经验 | 一年以上工作经验 | 一年以上工作经验
大语言模型,AI与大模型,technology,8,8,enterprise:8,job_6394c9a8372e3e23f95f;job_3953be93a8589d7d6e40;job_d670992f69d7e8bee231,AI产品经理-AI生成游戏 | PC游戏平台AI Builder | 腾讯视频-AI Agent工程师,与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范 | AI-Marketing：熟练运用 AIGC 工具（如文生图/视频、大语言模型等）进行宣发素材和营销内容的批量化创意产出与灰度验证 | 基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力
AIGC,AI与大模型,technology,7,7,enterprise:7,job_a1b9f0d64a7479d97c49;job_1f9a714ff03a61a3598c;job_3953be93a8589d7d6e40,AI渲染研究员 | AI创意设计师 | PC游戏平台AI Builder,"探索多模态大模型与AIGC技术在游戏领域的应用，通过AI技术能力对世界模型进行二次编辑改造 | AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具 | AI-Marketing：熟练运用 AIGC 工具（如文生图/视频、大语言模型等）进行宣发素材和营销内容的批量化创意产出与灰度验证"
LLM,自动短语,auto_english,7,7,enterprise:7,job_6394c9a8372e3e23f95f;job_d670992f69d7e8bee231;job_4f3074a0e2cd6b11c343,AI产品经理-AI生成游戏 | 腾讯视频-AI Agent工程师 | AI宠物-客户端工程师,主导LLM对话交互设计，定义AI助手的角色、对话流程和话术规范，确保用户能够自然、高效地表达游戏创意 | 基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力 | 协同AI团队对接LLM能力，开发MCP协议适配层及技能插件系统，安全接入各类外部工具与数据服务
RAG,AI与大模型,technology,7,7,enterprise:7,job_6e5097a612430522b56d;job_02045c718340d09dd064;job_d670992f69d7e8bee231,证券-AI产品经理-金融AI应用体验方向 | 元宝- AI策略产品经理 | 腾讯视频-AI Agent工程师,前沿技术应用与产品化：紧密跟踪AI领域（如Agent架构、RAG、SFT/RLHF等）发展趋势 | 优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验 | 持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量
Prompt,AI与大模型,auto_english,6,6,enterprise:6,job_6394c9a8372e3e23f95f;job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,AI产品经理-AI生成游戏 | 腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,与AI工程师协作，设计LLM的系统提示词（System Prompt），定义AI的理解能力边界和输出规范 | 对接算法，完成生图/生视频模型的能力对接、Prompt工程与效果调优 | 对接算法，完成生图/生视频模型的能力对接、Prompt工程与效果调优
五年以上工作经验,岗位标签,title_or_tag,6,6,enterprise:6,job_d1ad7c335b233d0cc89a;job_9a3bb0e9a5c245ce1cd2;job_9af441ed5d7442e29b68,AI infra规划架构师 | AI金融数据工程师 | AI前线部署工程师FDE,五年以上工作经验 | 五年以上工作经验 | 五年以上工作经验
模型量化,AI基础设施,technology,6,6,enterprise:6,job_3953be93a8589d7d6e40;job_f4c14f0b10002107315a;job_9a3bb0e9a5c245ce1cd2,PC游戏平台AI Builder | AI原生产品经理 | AI金融数据工程师,AI-Marketing：熟练运用 AIGC 工具（如文生图/视频、大语言模型等）进行宣发素材和营销内容的批量化创意产出与灰度验证 | 产品规划与目标定义：深入理解销售、运营、客服等内部业务流程与痛点，规划AI Agent产品的核心场景、能力矩阵与演进路线，并设定可量化的效率提升与增收目标 | 负责金融量化策略的构建和开发，赋能用户的金融投资决策
CDG,岗位标签,title_or_tag,5,5,enterprise:5,job_6e5097a612430522b56d;job_336d355d3b087c88caa6;job_9a3bb0e9a5c245ce1cd2,证券-AI产品经理-金融AI应用体验方向 | 金融AI产品经理 | AI金融数据工程师,CDG | CDG | CDG
公共,岗位标签,title_or_tag,5,5,enterprise:5,job_336d355d3b087c88caa6;job_9a3bb0e9a5c245ce1cd2;job_fb64a5945f428641fe50,金融AI产品经理 | AI金融数据工程师 | 音频策划（AI创作方向）,公共 | 公共 | 公共
腾讯视频,岗位标签,title_or_tag,5,5,enterprise:5,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc;job_312693bbb93418da3e9a,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师 | 腾讯视频-AI视效导演,腾讯视频 | 腾讯视频 | 腾讯视频
项目管理,项目管理,business,5,5,enterprise:5,job_7327bfadf20d1f534d7a;job_1f9a714ff03a61a3598c;job_d8bbdddf985677f71d5b,AI产品架构师 | AI创意设计师 | 海外AI交付项目经理,执行流程管理、事项管理、项目管理，逻辑清晰，具有判断决策和风险识别及解决的能力 | 项目管理与创意生产： 负责跨部门（投放、设计、研发）创意项目的全周期管理 | 对海外AI私有化项目的实施交付相关项目管理工作负责，以参与项目标前评审为起点，项目通过验收、转维为终点
Coding,自动短语,auto_english,4,4,enterprise:4,job_9a47df4abd72fd7f6b3e;job_3953be93a8589d7d6e40;job_9af441ed5d7442e29b68,AI设计工程师 | PC游戏平台AI Builder | AI前线部署工程师FDE,AI 驱动的原型开发：使用 AI Coding 工具直接将设计概念转化为可交互的高保真 Demo，能直接参与到研发工作中 | AI驱动的原型开发与闭环验证： 作为能“独立造物”的单元，熟练运用 AI Coding 工具将产品概念快速转化为可交互的高保真 Demo，实现MVP版本的独立研发、上线与敏捷验证 | 构建AI Coding研效提升体系，基于上下文工程、Harness工程、CI/CD流水线集成，打造从需求到交付的AI驱动开发闭环
MCP,自动短语,auto_english,4,4,enterprise:4,job_9a3bb0e9a5c245ce1cd2;job_4f3074a0e2cd6b11c343;job_603ec82f007cac5bab91,AI金融数据工程师 | AI宠物-客户端工程师 | 腾讯云-AI Agent测试工程师,负责AI金融数据库和MCP的规划和建设，推动大模型技术在金融AI助理、智能选基、智能投顾等金融核心场景的落地 | 协同AI团队对接LLM能力，开发MCP协议适配层及技能插件系统，安全接入各类外部工具与数据服务 | 将用例生成、执行转化、运行校验、置信度评估、根因定位、报告洞察等能力封装为标准化 Skill / MCP，建设跨产品线复用的智能测试能力底座
Model Context Protocol,数据与算法,technology,4,4,enterprise:4,job_9a3bb0e9a5c245ce1cd2;job_4f3074a0e2cd6b11c343;job_603ec82f007cac5bab91,AI金融数据工程师 | AI宠物-客户端工程师 | 腾讯云-AI Agent测试工程师,负责AI金融数据库和MCP的规划和建设，推动大模型技术在金融AI助理、智能选基、智能投顾等金融核心场景的落地 | 协同AI团队对接LLM能力，开发MCP协议适配层及技能插件系统，安全接入各类外部工具与数据服务 | 将用例生成、执行转化、运行校验、置信度评估、根因定位、报告洞察等能力封装为标准化 Skill / MCP，建设跨产品线复用的智能测试能力底座
WXG,岗位标签,title_or_tag,4,4,enterprise:4,job_aeeab7e041d6255c1e18;job_a737e78dd5403743406e;job_841aecf8986f2816ce92,微信-产品经理-AI方向 | 微信-AI应用开发工程师 | 微信-AI应用开发工程师,WXG | WXG | WXG
品牌,产品运营,business,4,4,enterprise:4,job_541a628d868ec5738147;job_1f9a714ff03a61a3598c;job_6fe133a2d9ea1119b7a1,腾讯云-腾讯云AI解决方案架构师-AI | AI创意设计师 | 高级-新媒体策划-AI方向,针对腾讯云业务在港澳地区，联动在地资源、内部团队及合作伙伴等，通过打造标杆性业务场景和成功案例，增强品牌认知度和业界信任度 | Level Infinite 是腾讯旗下国际游戏业务品牌，致力为全球玩家带来充满乐趣、原汁原味的游戏体验，让玩家随时随地进入游戏世界 | 制定并执行各平台的新媒体内容策略，规划选题内容、输出创意文案，确保内容与品牌调性一致，并能引发用户共鸣
应用宝,岗位标签,title_or_tag,4,4,enterprise:4,job_c2396654a70c7aa00053;job_9a47df4abd72fd7f6b3e;job_3953be93a8589d7d6e40,AI产品经理 | AI设计工程师 | PC游戏平台AI Builder,应用宝 | 应用宝 | 应用宝
高并发,软件工程,technology,4,4,enterprise:4,job_2851a784f7c6c75705fb;job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,AI 宠物-后台工程师 | 腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,优化面向海量在线设备的状态管理系统架构，重点提升高并发处理能力、数据强一致性保障及故障快速恢复机制 | 使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理 | 使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理
AI+,AI与大模型,auto_english,3,3,enterprise:3,job_fb64a5945f428641fe50;job_b6014ac1427b27704250;job_312693bbb93418da3e9a,音频策划（AI创作方向） | 《王者荣耀》-AI玩法策划 | 腾讯视频-AI视效导演,规划并落地“AI+音频”创作流程，覆盖歌曲的作词/作曲/演唱/制作、游戏内音乐/音效/语音，以及AI MV视频生成等方向，支撑项目从创意到实现的全链路 | 负责各类型AI能力在游戏玩法中的应用，与算法、工程团队紧密协作，参与制定并推动搭建适用于项目场景，可扩展、易维护的AI+游戏系统框架 | 设计与优化“AI+传统”的混合型视觉开发流程，提升从创意到预览的整体效率
ClawPet,自动短语,auto_english,3,3,enterprise:3,job_4caaee10dee22e2d4b68;job_2851a784f7c6c75705fb;job_4f3074a0e2cd6b11c343,AI宠物-游戏策划 | AI 宠物-后台工程师 | AI宠物-客户端工程师,负责ClawPet核心玩法与宠物养成系统的整体设计与持续迭代优化 | 负责ClawPet桌面Agent产品的后台服务核心研发工作，构建高可靠、低延迟、可扩展的Go服务端技术体系 | 主导ClawPet桌面客户端核心模块的研发工作，构建高可用、高性能的Electron/Vue/TypeScript技术栈应用架构
Clawpet-,自动短语,auto_english,3,3,enterprise:3,job_4caaee10dee22e2d4b68;job_2851a784f7c6c75705fb;job_4f3074a0e2cd6b11c343,AI宠物-游戏策划 | AI 宠物-后台工程师 | AI宠物-客户端工程师,IEG；Clawpet-端游；产品；两年以上工作经验 | IEG；Clawpet-端游；技术；三年以上工作经验 | IEG；Clawpet-端游；技术；两年以上工作经验
Clawpet-端游,岗位标签,title_or_tag,3,3,enterprise:3,job_4caaee10dee22e2d4b68;job_2851a784f7c6c75705fb;job_4f3074a0e2cd6b11c343,AI宠物-游戏策划 | AI 宠物-后台工程师 | AI宠物-客户端工程师,Clawpet-端游 | Clawpet-端游 | Clawpet-端游
Go,编程语言,technology,3,3,enterprise:3,job_2851a784f7c6c75705fb;job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,AI 宠物-后台工程师 | 腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,负责ClawPet桌面Agent产品的后台服务核心研发工作，构建高可靠、低延迟、可扩展的Go服务端技术体系 | 使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理 | 使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理
Memory,自动短语,auto_english,3,3,enterprise:3,job_24f974ab0119fe19fdc7;job_02045c718340d09dd064;job_c8cfd0eb9b126135e6e3,AI研效高级工程师 | 元宝- AI策略产品经理 | 元宝- AI策略产品经理,通过提示词工程、知识库、Memory 和 Tools 等技术构建 Agent 能力实现业务提质增效 | 优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验 | 优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验
Model Inference,AI基础设施,technology,3,3,enterprise:3,job_d1ad7c335b233d0cc89a;job_a737e78dd5403743406e;job_841aecf8986f2816ce92,AI infra规划架构师 | 微信-AI应用开发工程师 | 微信-AI应用开发工程师,负责前沿异构计算芯片、大模型推理优化、大规模训练的技术演进跟踪和落地 | 负责微信 AI平台中分布式计算平台、特征生成平台、大模型推理平台等中台功能开发 | 负责微信 AI平台中分布式计算平台、特征生成平台、大模型推理平台等中台功能开发
Multimodal AI,数据与算法,technology,3,3,enterprise:3,job_a1b9f0d64a7479d97c49;job_367a9087facd6bfbc408;job_f857a0433693daf3affa,AI渲染研究员 | 腾讯视频-AI 产品经理 | 游戏AI产品策划,负责多模态游戏资产内容生成与增强相关算法的研发，通过大模型的训练、微调等手段，提升世界模型的清晰度、补全缺失内容 | 深入理解AI视频生成、Agent、多模态大模型等技术能力边界，将前沿AI能力产品化为普通创作者可用的功能 | 有AI领域背景（如LLM、多模态、Prompt Engineering）或相关产品经验者优先
PUBG,自动短语,auto_english,3,3,enterprise:3,job_1f9a714ff03a61a3598c;job_f515ca6c0c0dea5c6d25;job_f857a0433693daf3affa,AI创意设计师 | PUBG Mobile-3D角色模型（AI方向） | 游戏AI产品策划,Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品 | IEG；PUBG Mobile-全球不分明细；设计；三年以上工作经验 | Level Infinite发行产品包括《PUBG MOBILE》、《Goddess of Victory: NIKKE 》《Honor of King》等热门游戏，并与合作工作室联手推出了来自Fatshark的《战锤40K：暗潮》、Funcom的《沙丘：觉醒》、Inflexion Studios的《夜莺》在内多款产品
TEG,岗位标签,title_or_tag,3,3,enterprise:3,job_d1ad7c335b233d0cc89a;job_e2560233ca886d4acef5;job_546d6ff9d78ac05ae1bd,AI infra规划架构师 | 游戏AI-高级产品经理 | 游戏AI-后台开发工程师,TEG | TEG | TEG
Tools,自动短语,auto_english,3,3,enterprise:3,job_24f974ab0119fe19fdc7;job_02045c718340d09dd064;job_c8cfd0eb9b126135e6e3,AI研效高级工程师 | 元宝- AI策略产品经理 | 元宝- AI策略产品经理,通过提示词工程、知识库、Memory 和 Tools 等技术构建 Agent 能力实现业务提质增效 | 优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验 | 优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验
Use,自动短语,auto_english,3,3,enterprise:3,job_3953be93a8589d7d6e40;job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,PC游戏平台AI Builder | 腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,Game Use Agent ： 深度探索并推动 Agent在 PC 游戏与平台生态中的融合应用 | 持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量 | 持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量
多模态AI,AI与大模型,technology,3,3,enterprise:3,job_a1b9f0d64a7479d97c49;job_367a9087facd6bfbc408;job_f857a0433693daf3affa,AI渲染研究员 | 腾讯视频-AI 产品经理 | 游戏AI产品策划,负责多模态游戏资产内容生成与增强相关算法的研发，通过大模型的训练、微调等手段，提升世界模型的清晰度、补全缺失内容 | 深入理解AI视频生成、Agent、多模态大模型等技术能力边界，将前沿AI能力产品化为普通创作者可用的功能 | 有AI领域背景（如LLM、多模态、Prompt Engineering）或相关产品经验者优先
大模型推理,AI与大模型,auto_phrase,3,3,enterprise:3,job_d1ad7c335b233d0cc89a;job_a737e78dd5403743406e;job_841aecf8986f2816ce92,AI infra规划架构师 | 微信-AI应用开发工程师 | 微信-AI应用开发工程师,负责前沿异构计算芯片、大模型推理优化、大规模训练的技术演进跟踪和落地 | 负责微信 AI平台中分布式计算平台、特征生成平台、大模型推理平台等中台功能开发 | 负责微信 AI平台中分布式计算平台、特征生成平台、大模型推理平台等中台功能开发
工作流,自动短语,auto_phrase,3,3,enterprise:3,job_1f9a714ff03a61a3598c;job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,AI创意设计师 | 腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,"AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具 | 负责AI Agent 工作流的设计与研发，落地生图、生视频等业务场景的端到端自动化流程 | 负责AI Agent 工作流的设计与研发，落地生图、生视频等业务场景的端到端自动化流程"
数据分析,数据分析,business,3,3,enterprise:3,job_4caaee10dee22e2d4b68;job_f4c14f0b10002107315a;job_6fe133a2d9ea1119b7a1,AI宠物-游戏策划 | AI原生产品经理 | 高级-新媒体策划-AI方向,基于用户行为数据分析，持续优化产品体验并制定有效的用户留存策略 | 数据驱动与效果评估：建立AI Agent产品的核心指标体系，监控使用效果、准确率与业务影响，通过数据分析驱动产品的持续迭代与优化 | 根据数据分析优化内容策略，反哺到内容优化及业务迭代，形成可持续的运营闭环
架构设计,软件工程,technology,3,3,enterprise:3,job_d1ad7c335b233d0cc89a;job_9af441ed5d7442e29b68;job_5a354104183ea6233371,AI infra规划架构师 | AI前线部署工程师FDE | AI前线部署工程师FDE,负责公司整体AI平台架构设计和AI工程化技术 | 深入行业场景，将模糊需求拆解为可执行的技术路线图，主导需求分析、技术选型、架构设计，输出可落地的AI解决方案 | 深入行业场景，将模糊需求拆解为可执行的技术路线图，主导需求分析、技术选型、架构设计，输出可落地的AI解决方案
模型微调,AI与大模型,technology,3,3,enterprise:3,job_a1b9f0d64a7479d97c49;job_1f9a714ff03a61a3598c;job_5a354104183ea6233371,AI渲染研究员 | AI创意设计师 | AI前线部署工程师FDE,负责多模态游戏资产内容生成与增强相关算法的研发，通过大模型的训练、微调等手段，提升世界模型的清晰度、补全缺失内容 | AI 专家级实操： 精通 ComfyUI 节点式逻辑、模型微调、插件调用及 Agent 自动化流程搭建 | 进行Prompt优化、RAG链路调优、模型微调与效果评测，将客户痛点提炼为产品需求，驱动迭代并沉淀场景化最佳实践
模型推理,AI基础设施,technology,3,3,enterprise:3,job_d1ad7c335b233d0cc89a;job_a737e78dd5403743406e;job_841aecf8986f2816ce92,AI infra规划架构师 | 微信-AI应用开发工程师 | 微信-AI应用开发工程师,负责前沿异构计算芯片、大模型推理优化、大规模训练的技术演进跟踪和落地 | 负责微信 AI平台中分布式计算平台、特征生成平台、大模型推理平台等中台功能开发 | 负责微信 AI平台中分布式计算平台、特征生成平台、大模型推理平台等中台功能开发
设计,岗位标签,title_or_tag,3,3,enterprise:3,job_9a47df4abd72fd7f6b3e;job_1f9a714ff03a61a3598c;job_f515ca6c0c0dea5c6d25,AI设计工程师 | AI创意设计师 | PUBG Mobile-3D角色模型（AI方向）,设计 | 设计 | 设计
3D,游戏美术,technology,2,2,enterprise:2,job_1f9a714ff03a61a3598c;job_f515ca6c0c0dea5c6d25,AI创意设计师 | PUBG Mobile-3D角色模型（AI方向）,针对IAA、休闲类游戏的业务场景，搭建并输出标准化的 AI 绘画、视频生成、3D 辅助及试玩广告工作流（Workflow），实现生产力的标准化与规模化 | 根据原画需求，理解角色设计背景，合理规划 3D 资产结构，把控制作过程符合引擎性能优化要求，并在引擎内完成资产调试、迭代与统一管理
AI-,AI与大模型,auto_english,2,2,enterprise:2,job_e2560233ca886d4acef5;job_546d6ff9d78ac05ae1bd,游戏AI-高级产品经理 | 游戏AI-后台开发工程师,游戏AI-高级产品经理 | 游戏AI-后台开发工程师
AI前线部署工程师FDE,岗位角色,title_or_tag,2,2,enterprise:2,job_9af441ed5d7442e29b68;job_5a354104183ea6233371,AI前线部署工程师FDE | AI前线部署工程师FDE,AI前线部署工程师FDE | AI前线部署工程师FDE
badcase,自动短语,auto_english,2,2,enterprise:2,job_d670992f69d7e8bee231;job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师 | 腾讯视频-AI Agent工程师,配合产品/算法团队完成效果评估、badcase分析与迭代 | 配合产品/算法团队完成效果评估、badcase分析与迭代
Builder,自动短语,auto_english,2,2,enterprise:2,job_9a47df4abd72fd7f6b3e;job_3953be93a8589d7d6e40,AI设计工程师 | PC游戏平台AI Builder,独立闭环：作为一个微型创新单元，成为Builder完成最小闭环 | PC游戏平台AI Builder
