annotation_id,sentence_id,job_id,job_title,source_type,source_name,evidence_field,text,span_text,span_start,span_end,label,normalized_skill,category,skill_type,decision
job_6e5097a612430522b56d::job_description::0008::span::02,job_6e5097a612430522b56d::job_description::0008,job_6e5097a612430522b56d,证券-AI产品经理-金融AI应用体验方向,enterprise,腾讯招聘,job_description,2.前沿技术应用与产品化：紧密跟踪AI领域（如Agent架构、RAG、SFT/RLHF等）发展趋势,RAG,31,34,knowledge,RAG,数据与算法,required,ACCEPT
job_6e5097a612430522b56d::job_description::0009::span::01,job_6e5097a612430522b56d::job_description::0009,job_6e5097a612430522b56d,证券-AI产品经理-金融AI应用体验方向,enterprise,腾讯招聘,job_description,包括但不限于：设计AI Agent的决策流、设定人机协同边界、规划工具调用与长短期记忆机制、确保结果的可解释性与可控性,AI Agent,9,17,knowledge,agent,数据与算法,required,MODIFY
job_1f9a714ff03a61a3598c::job_description::0010::span::01,job_1f9a714ff03a61a3598c::job_description::0010,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,"1、AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具",Stable Diffusion,22,38,knowledge,Stable Diffusion,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0010::span::02,job_1f9a714ff03a61a3598c::job_description::0010,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,"1、AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具",Midjourney,40,50,knowledge,Midjourney,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0010::span::03,job_1f9a714ff03a61a3598c::job_description::0010,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,"1、AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具",ComfyUI,52,59,knowledge,ComfyUI,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0010::span::04,job_1f9a714ff03a61a3598c::job_description::0010,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,"1、AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具",Flux,61,65,knowledge,Flux,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0010::span::05,job_1f9a714ff03a61a3598c::job_description::0010,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,"1、AI 工作流体系建设： 深度研究并实操 Stable Diffusion, Midjourney, ComfyUI, Flux 等前沿 AIGC 工具",AIGC,70,74,knowledge,AIGC,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0011::span::01,job_1f9a714ff03a61a3598c::job_description::0011,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,沉淀团队专属的 AI 风格模型库、工作流模板及 Agent 资源,Agent,24,29,knowledge,agent,数据与算法,required,MODIFY
job_1f9a714ff03a61a3598c::job_description::0012::span::01,job_1f9a714ff03a61a3598c::job_description::0012,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,5、前沿趋势与技术布道： 持续追踪 AIGC 领域，的最前沿动态,AIGC,18,22,knowledge,AIGC,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0013::span::01,job_1f9a714ff03a61a3598c::job_description::0013,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,3、AI 专家级实操： 精通 ComfyUI 节点式逻辑、模型微调、插件调用及 Agent 自动化流程搭建,ComfyUI,15,22,knowledge,ComfyUI,数据与算法,required,ACCEPT
job_1f9a714ff03a61a3598c::job_description::0013::span::02,job_1f9a714ff03a61a3598c::job_description::0013,job_1f9a714ff03a61a3598c,AI创意设计师,enterprise,腾讯招聘,job_description,3、AI 专家级实操： 精通 ComfyUI 节点式逻辑、模型微调、插件调用及 Agent 自动化流程搭建,Agent,40,45,knowledge,agent,数据与算法,required,MODIFY
job_3953be93a8589d7d6e40::job_description::0014::span::01,job_3953be93a8589d7d6e40::job_description::0014,job_3953be93a8589d7d6e40,PC游戏平台AI Builder,enterprise,腾讯招聘,job_description,3.Game Use Agent ： 深度探索并推动 Agent在 PC 游戏与平台生态中的融合应用,Game Use Agent,2,16,knowledge,agent,数据与算法,required,MODIFY
job_3953be93a8589d7d6e40::job_description::0015::span::01,job_3953be93a8589d7d6e40::job_description::0015,job_3953be93a8589d7d6e40,PC游戏平台AI Builder,enterprise,腾讯招聘,job_description,一起定义和设计下一代“游戏智能体及智能辅助”，在玩家“寻找游戏-运行游戏-游戏辅助-社区互动”的全生命周期中，打造革命性的平台交互新物种,智能体,13,16,knowledge,agent,数据与算法,required,MODIFY
job_3953be93a8589d7d6e40::job_description::0016::span::01,job_3953be93a8589d7d6e40::job_description::0016,job_3953be93a8589d7d6e40,PC游戏平台AI Builder,enterprise,腾讯招聘,job_description,4.AI-Marketing：熟练运用 AIGC 工具（如文生图/视频、大语言模型等）进行宣发素材和营销内容的批量化创意产出与灰度验证,AIGC,20,24,knowledge,AIGC,数据与算法,required,ACCEPT
job_3953be93a8589d7d6e40::job_description::0016::span::02,job_3953be93a8589d7d6e40::job_description::0016,job_3953be93a8589d7d6e40,PC游戏平台AI Builder,enterprise,腾讯招聘,job_description,4.AI-Marketing：熟练运用 AIGC 工具（如文生图/视频、大语言模型等）进行宣发素材和营销内容的批量化创意产出与灰度验证,大语言模型,36,41,knowledge,LLM,数据与算法,required,MODIFY
job_d1ad7c335b233d0cc89a::job_description::0017::span::01,job_d1ad7c335b233d0cc89a::job_description::0017,job_d1ad7c335b233d0cc89a,AI infra规划架构师,enterprise,腾讯招聘,job_description,通过AI基础设施和软硬件协同优化来提升公司大模型训练和推理的效率,大模型,21,24,knowledge,LLM,数据与算法,required,MODIFY
job_d1ad7c335b233d0cc89a::job_description::0017::span::02,job_d1ad7c335b233d0cc89a::job_description::0017,job_d1ad7c335b233d0cc89a,AI infra规划架构师,enterprise,腾讯招聘,job_description,通过AI基础设施和软硬件协同优化来提升公司大模型训练和推理的效率,模型训练,22,26,knowledge,模型训练,AI基础设施,required,MODIFY
job_d1ad7c335b233d0cc89a::job_description::0018::span::01,job_d1ad7c335b233d0cc89a::job_description::0018,job_d1ad7c335b233d0cc89a,AI infra规划架构师,enterprise,腾讯招聘,job_description,负责前沿异构计算芯片、大模型推理优化、大规模训练的技术演进跟踪和落地,大模型,11,14,knowledge,LLM,数据与算法,required,MODIFY
job_d1ad7c335b233d0cc89a::job_description::0018::span::02,job_d1ad7c335b233d0cc89a::job_description::0018,job_d1ad7c335b233d0cc89a,AI infra规划架构师,enterprise,腾讯招聘,job_description,负责前沿异构计算芯片、大模型推理优化、大规模训练的技术演进跟踪和落地,模型推理,12,16,knowledge,模型推理,AI基础设施,required,MODIFY
job_6a37ba5df765ce9e31da::job_description::0019::span::01,job_6a37ba5df765ce9e31da::job_description::0019,job_6a37ba5df765ce9e31da,AI Infra研发工程师,enterprise,腾讯招聘,job_description,1.虚拟化平台异构计算方向功能、性能优化,虚拟化,2,5,knowledge,Virtualization,AI基础设施,required,ACCEPT
job_6a37ba5df765ce9e31da::job_description::0020::span::01,job_6a37ba5df765ce9e31da::job_description::0020,job_6a37ba5df765ce9e31da,AI Infra研发工程师,enterprise,腾讯招聘,job_description,2.异构计算方向虚拟化能力适配,虚拟化,8,11,knowledge,Virtualization,AI基础设施,required,ACCEPT
job_6a37ba5df765ce9e31da::job_description::0021::span::01,job_6a37ba5df765ce9e31da::job_description::0021,job_6a37ba5df765ce9e31da,AI Infra研发工程师,enterprise,腾讯招聘,job_description,3.异构计算方向虚拟化相关软件生态适配,虚拟化,8,11,knowledge,Virtualization,AI基础设施,required,ACCEPT
job_f4c14f0b10002107315a::job_description::0022::span::01,job_f4c14f0b10002107315a::job_description::0022,job_f4c14f0b10002107315a,AI原生产品经理,enterprise,腾讯招聘,job_description,1.产品规划与目标定义：深入理解销售、运营、客服等内部业务流程与痛点，规划AI Agent产品的核心场景、能力矩阵与演进路线，并设定可量化的效率提升与增收目标,AI Agent,37,45,knowledge,agent,数据与算法,required,MODIFY
job_f4c14f0b10002107315a::job_description::0023::span::01,job_f4c14f0b10002107315a::job_description::0023,job_f4c14f0b10002107315a,AI原生产品经理,enterprise,腾讯招聘,job_description,2.智能体体验与流程设计：主导Agent的交互逻辑、决策流程与工具调用设计,Agent,15,20,knowledge,agent,数据与算法,required,MODIFY
job_f4c14f0b10002107315a::job_description::0024::span::01,job_f4c14f0b10002107315a::job_description::0024,job_f4c14f0b10002107315a,AI原生产品经理,enterprise,腾讯招聘,job_description,3.系统整合与自动化闭环：设计并推动AI Agent与现有业务系统（如经营系统、知识库等）的深度集成方案，实现从“感知-决策-执行-反馈”的业务自动化闭环,AI Agent,18,26,knowledge,agent,数据与算法,required,MODIFY
job_f4c14f0b10002107315a::job_description::0025::span::01,job_f4c14f0b10002107315a::job_description::0025,job_f4c14f0b10002107315a,AI原生产品经理,enterprise,腾讯招聘,job_description,4.数据驱动与效果评估：建立AI Agent产品的核心指标体系，监控使用效果、准确率与业务影响，通过数据分析驱动产品的持续迭代与优化,AI Agent,14,22,knowledge,agent,数据与算法,required,MODIFY
job_2851a784f7c6c75705fb::job_description::0026::span::01,job_2851a784f7c6c75705fb::job_description::0026,job_2851a784f7c6c75705fb,AI 宠物-后台工程师,enterprise,腾讯招聘,job_description,1.负责ClawPet桌面Agent产品的后台服务核心研发工作，构建高可靠、低延迟、可扩展的Go服务端技术体系,Agent,13,18,knowledge,agent,数据与算法,required,MODIFY
job_2851a784f7c6c75705fb::job_description::0026::span::02,job_2851a784f7c6c75705fb::job_description::0026,job_2851a784f7c6c75705fb,AI 宠物-后台工程师,enterprise,腾讯招聘,job_description,1.负责ClawPet桌面Agent产品的后台服务核心研发工作，构建高可靠、低延迟、可扩展的Go服务端技术体系,Go,46,48,knowledge,Go,编程语言,required,ACCEPT
job_2851a784f7c6c75705fb::job_description::0027::span::01,job_2851a784f7c6c75705fb::job_description::0027,job_2851a784f7c6c75705fb,AI 宠物-后台工程师,enterprise,腾讯招聘,job_description,4.搭建Agent后台基础设施，包括长任务执行引擎、跨工具协议适配层、用户记忆库管理及大模型能力集成方案,Agent,4,9,knowledge,agent,数据与算法,required,MODIFY
job_2851a784f7c6c75705fb::job_description::0027::span::02,job_2851a784f7c6c75705fb::job_description::0027,job_2851a784f7c6c75705fb,AI 宠物-后台工程师,enterprise,腾讯招聘,job_description,4.搭建Agent后台基础设施，包括长任务执行引擎、跨工具协议适配层、用户记忆库管理及大模型能力集成方案,大模型,43,46,knowledge,LLM,数据与算法,required,MODIFY
job_db9d345c441d8e6344d8::job_description::0028::span::01,job_db9d345c441d8e6344d8::job_description::0028,job_db9d345c441d8e6344d8,Project W-AI引擎工程师,enterprise,腾讯招聘,job_description,1.AI 原生玩法开发：使用 UE5/Godot 等引擎，结合生成式 AI 技术，负责 AI 原生玩法系统与相关组件的功能开发，支撑游戏设计的快速迭代与落地,UE5,15,18,knowledge,UE,系统与工程,required,MODIFY
job_24f974ab0119fe19fdc7::job_description::0029::span::01,job_24f974ab0119fe19fdc7::job_description::0029,job_24f974ab0119fe19fdc7,AI研效高级工程师,enterprise,腾讯招聘,job_description,1.负责研效领域 AI Agent 产品的能力规划、迭代和落地,AI Agent,9,17,knowledge,agent,数据与算法,required,MODIFY
job_24f974ab0119fe19fdc7::job_description::0030::span::01,job_24f974ab0119fe19fdc7::job_description::0030,job_24f974ab0119fe19fdc7,AI研效高级工程师,enterprise,腾讯招聘,job_description,2.通过提示词工程、知识库、Memory 和 Tools 等技术构建 Agent 能力实现业务提质增效,提示词工程,4,9,knowledge,prompt工程,数据与算法,required,MODIFY
job_24f974ab0119fe19fdc7::job_description::0030::span::02,job_24f974ab0119fe19fdc7::job_description::0030,job_24f974ab0119fe19fdc7,AI研效高级工程师,enterprise,腾讯招聘,job_description,2.通过提示词工程、知识库、Memory 和 Tools 等技术构建 Agent 能力实现业务提质增效,Agent,35,40,knowledge,agent,数据与算法,required,MODIFY
job_24f974ab0119fe19fdc7::job_description::0031::span::01,job_24f974ab0119fe19fdc7::job_description::0031,job_24f974ab0119fe19fdc7,AI研效高级工程师,enterprise,腾讯招聘,job_description,3.构建 AI Agent 效果和落地指标体系，通过评测和实验持续迭代和提升 Agent 能力,AI Agent,5,13,knowledge,agent,数据与算法,required,MODIFY
job_9a3bb0e9a5c245ce1cd2::job_description::0032::span::01,job_9a3bb0e9a5c245ce1cd2::job_description::0032,job_9a3bb0e9a5c245ce1cd2,AI金融数据工程师,enterprise,腾讯招聘,job_description,1.负责AI金融数据库和MCP的规划和建设，推动大模型技术在金融AI助理、智能选基、智能投顾等金融核心场景的落地,MCP,12,15,knowledge,Model Context Protocol,数据与算法,required,ACCEPT
job_9a3bb0e9a5c245ce1cd2::job_description::0032::span::02,job_9a3bb0e9a5c245ce1cd2::job_description::0032,job_9a3bb0e9a5c245ce1cd2,AI金融数据工程师,enterprise,腾讯招聘,job_description,1.负责AI金融数据库和MCP的规划和建设，推动大模型技术在金融AI助理、智能选基、智能投顾等金融核心场景的落地,大模型,24,27,knowledge,LLM,数据与算法,required,MODIFY
job_9a9411dd451e1ea2b7ef::job_description::0033::span::01,job_9a9411dd451e1ea2b7ef::job_description::0033,job_9a9411dd451e1ea2b7ef,AI技术型产品运营,enterprise,腾讯招聘,job_description,1.智能社群管理（万人级）： 负责搭建与维护社群运营 Agent，实现万人社群的自动化答疑、活跃引导及违规监控，确保社群 7x24 小时高质量运转,Agent,27,32,knowledge,agent,数据与算法,required,MODIFY
job_9a9411dd451e1ea2b7ef::job_description::0034::span::01,job_9a9411dd451e1ea2b7ef::job_description::0034,job_9a9411dd451e1ea2b7ef,AI技术型产品运营,enterprise,腾讯招聘,job_description,2.内容生产与宣发提效： 开发专门针对业务场景的内容宣发智能体（Content Agent），通过 AI 辅助产出高质量文案、海报及视频脚本，并实现多平台的一键/自动化分发,Content Agent,32,45,knowledge,agent,数据与算法,required,MODIFY
job_02045c718340d09dd064::job_description::0035::span::01,job_02045c718340d09dd064::job_description::0035,job_02045c718340d09dd064,元宝- AI策略产品经理,enterprise,腾讯招聘,job_description,1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,Agent,4,9,knowledge,agent,数据与算法,required,MODIFY
job_02045c718340d09dd064::job_description::0035::span::02,job_02045c718340d09dd064::job_description::0035,job_02045c718340d09dd064,元宝- AI策略产品经理,enterprise,腾讯招聘,job_description,1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,RAG,19,22,knowledge,RAG,数据与算法,required,ACCEPT
job_02045c718340d09dd064::job_description::0036::span::01,job_02045c718340d09dd064::job_description::0036,job_02045c718340d09dd064,元宝- AI策略产品经理,enterprise,腾讯招聘,job_description,3.抽象沉淀通用组建和能力，完善Agent平台能力，提升业务迭代效率,Agent,16,21,knowledge,agent,数据与算法,required,MODIFY
job_fb64a5945f428641fe50::job_description::0037::span::01,job_fb64a5945f428641fe50::job_description::0037,job_fb64a5945f428641fe50,音频策划（AI创作方向）,enterprise,腾讯招聘,job_description,2.针对不同需求选择并集成AI工具，建立提示词库、预设与模板，形成可复用方法论,提示词库,20,24,knowledge,prompt工程,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_title::0038::span::01,job_d670992f69d7e8bee231::job_title::0038,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_title,腾讯视频-AI Agent工程师,AI Agent,5,13,knowledge,agent,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_description::0039::span::01,job_d670992f69d7e8bee231::job_description::0039,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,1.负责AI Agent 工作流的设计与研发，落地生图、生视频等业务场景的端到端自动化流程,AI Agent,4,12,knowledge,agent,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_description::0040::span::01,job_d670992f69d7e8bee231::job_description::0040,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,2.基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力,LLM,5,8,knowledge,LLM,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_description::0040::span::02,job_d670992f69d7e8bee231::job_description::0040,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,2.基于 LLM（GPT/Claude/DeepSeek/混元等）构建Agent的任务规划、工具调用、记忆管理、多轮决策能力,Agent,35,40,knowledge,agent,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_description::0041::span::01,job_d670992f69d7e8bee231::job_description::0041,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,3.使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理）,Go,4,6,knowledge,Go,编程语言,required,ACCEPT
job_d670992f69d7e8bee231::job_description::0041::span::02,job_d670992f69d7e8bee231::job_description::0041,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,3.使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理）,Python,7,13,knowledge,Python,编程语言,required,ACCEPT
job_d670992f69d7e8bee231::job_description::0041::span::03,job_d670992f69d7e8bee231::job_description::0041,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,3.使用Go/Python构建高并发Agent服务框架与调度系统（任务编排、工作流引擎、队列消费、稳定性治理）,Agent,18,23,knowledge,agent,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_description::0042::span::01,job_d670992f69d7e8bee231::job_description::0042,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,4.对接算法，完成生图/生视频模型的能力对接、Prompt工程与效果调优,Prompt工程,23,31,knowledge,prompt工程,数据与算法,required,MODIFY
job_d670992f69d7e8bee231::job_description::0044::span::01,job_d670992f69d7e8bee231::job_description::0044,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,6.持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量,RAG,33,36,knowledge,RAG,数据与算法,required,ACCEPT
job_d670992f69d7e8bee231::job_description::0044::span::02,job_d670992f69d7e8bee231::job_description::0044,job_d670992f69d7e8bee231,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,6.持续优化 Function Calling、Tool Use、RAG 检索、上下文管理等核心模块，提升 Agent 稳定性与生成质量,Agent,54,59,knowledge,agent,数据与算法,required,MODIFY
job_c8cfd0eb9b126135e6e3::job_description::0045::span::01,job_c8cfd0eb9b126135e6e3::job_description::0045,job_c8cfd0eb9b126135e6e3,元宝- AI策略产品经理,enterprise,腾讯招聘,job_description,1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,Agent,4,9,knowledge,agent,数据与算法,required,MODIFY
job_c8cfd0eb9b126135e6e3::job_description::0045::span::02,job_c8cfd0eb9b126135e6e3::job_description::0045,job_c8cfd0eb9b126135e6e3,元宝- AI策略产品经理,enterprise,腾讯招聘,job_description,1.优化Agent能力，通过包括不限于RAG、Tools、Memory等方式，不断提升用户体验,RAG,19,22,knowledge,RAG,数据与算法,required,ACCEPT
job_c8cfd0eb9b126135e6e3::job_description::0046::span::01,job_c8cfd0eb9b126135e6e3::job_description::0046,job_c8cfd0eb9b126135e6e3,元宝- AI策略产品经理,enterprise,腾讯招聘,job_description,3.抽象沉淀通用组建和能力，完善agent平台能力，提升业务迭代效率,agent,16,21,knowledge,agent,数据与算法,required,MODIFY
job_4f3074a0e2cd6b11c343::job_description::0047::span::01,job_4f3074a0e2cd6b11c343::job_description::0047,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,1.主导ClawPet桌面客户端核心模块的研发工作，构建高可用、高性能的Electron/Vue/TypeScript技术栈应用架构,Vue,45,48,knowledge,Vue,前端技术,required,ACCEPT
job_4f3074a0e2cd6b11c343::job_description::0047::span::02,job_4f3074a0e2cd6b11c343::job_description::0047,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,1.主导ClawPet桌面客户端核心模块的研发工作，构建高可用、高性能的Electron/Vue/TypeScript技术栈应用架构,TypeScript,49,59,knowledge,TypeScript,编程语言,required,ACCEPT
job_4f3074a0e2cd6b11c343::job_description::0048::span::01,job_4f3074a0e2cd6b11c343::job_description::0048,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,2.深度参与端侧Agent运行时系统设计，实现上下文记忆、工具链调用、多轮对话管理和异常恢复等关键机制,Agent,8,13,knowledge,agent,数据与算法,required,MODIFY
job_4f3074a0e2cd6b11c343::job_description::0049::span::01,job_4f3074a0e2cd6b11c343::job_description::0049,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,4.协同AI团队对接LLM能力，开发MCP协议适配层及技能插件系统，安全接入各类外部工具与数据服务,LLM,10,13,knowledge,LLM,数据与算法,required,MODIFY
job_4f3074a0e2cd6b11c343::job_description::0049::span::02,job_4f3074a0e2cd6b11c343::job_description::0049,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,4.协同AI团队对接LLM能力，开发MCP协议适配层及技能插件系统，安全接入各类外部工具与数据服务,MCP,18,21,knowledge,Model Context Protocol,数据与算法,required,ACCEPT
job_4f3074a0e2cd6b11c343::job_description::0050::span::01,job_4f3074a0e2cd6b11c343::job_description::0050,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,5.联动产品、算法、后端及设计团队，将大模型能力转化为符合用户直觉的桌面级智能交互体验,大模型,19,22,knowledge,LLM,数据与算法,required,MODIFY
job_4f3074a0e2cd6b11c343::job_description::0051::span::01,job_4f3074a0e2cd6b11c343::job_description::0051,job_4f3074a0e2cd6b11c343,AI宠物-客户端工程师,enterprise,腾讯招聘,job_description,6.建立客户端质量保障体系，设计自动化测试方案并制定工程规范，确保产品迭代稳定性,自动化测试,16,21,knowledge,Automated Testing,测试工具,required,ACCEPT
job_aa1553fbfdcf1d3a8efc::job_title::0052::span::01,job_aa1553fbfdcf1d3a8efc::job_title::0052,job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_title,腾讯视频-AI Agent工程师,AI Agent,5,13,knowledge,agent,数据与算法,required,MODIFY
job_aa1553fbfdcf1d3a8efc::job_description::0053::span::01,job_aa1553fbfdcf1d3a8efc::job_description::0053,job_aa1553fbfdcf1d3a8efc,腾讯视频-AI Agent工程师,enterprise,腾讯招聘,job_description,1.负责AI Agent 工作流的设计与研发，落地生图、生视频等业务场景的端到端自动化流程,AI Agent,4,12,knowledge,agent,数据与算法,required,MODIFY
